,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms
0,20684553,3008 Glenridge Ave, Alhambra CA 91801,34.0911178012,-118.156635243,0,756890,794734,719046,"572,600",753336.0,2017,1927,6181,1814,4,1.5
1,20715159,2240 Hitchcock Dr, Alhambra CA 91803,34.0671079197,-118.14172835,0,683817,718008,649626,"572,600",86029.0,2017,1947,6502,1225,3,1.0
2,20717413,1801 S 4th St, Alhambra CA 91803,34.0739436006,-118.1268662,0,728087,764491,691683,"572,600",663000.0,2017,1910,7612,1658,3,1.0
3,20711947,777 E Valley Blvd, Alhambra CA 91801,34.079473554,-118.115582588,0,428771,450210,407332,"572,600",158768.0,2017,1963,474206,1103,2,2.0
4,20683490,415 Winthrop Dr, Alhambra CA 91803,34.0870763146,-118.158484322,0,734073,770777,697369,"572,600",310442.0,2017,1932,6997,1513,3,2.0
5,119679558,428 W Main St, Alhambra CA 91801,34.0925761294,-118.131816926,0,577022,605873,548171,"572,600",424155.0,2017,2012,28567,1070,2,2.0
6,20716036,1600 Date Ave, Alhambra CA 91803,34.0747389498,-118.147527907,0,806696,847031,766361,"572,600",519907.0,2017,1928,6619,2146,3,2.0
7,20698034,1124 N Story Pl, Alhambra CA 91801,34.1079453807,-118.130385262,0,934567,981295,887839,"572,600",86139.0,2017,1941,9369,1413,2,2.0
8,20683599,2814 Poplar Blvd, Alhambra CA 91803,34.0908134726,-118.154727495,0,623934,655131,592737,"572,600",441013.0,2017,1937,4677,1208,2,1.0
9,20713210,3005 Glenaven Ave, Alhambra CA 91803,34.0722093222,-118.157113164,0,704297,739512,669082,"572,600",324449.0,2017,1935,7976,1440,2,1.0
10,20683447,2201 W Commonwealth Ave, Alhambra CA 91803,34.088170959,-118.146863812,0,769879,808373,731385,"572,600",539932.0,2017,1930,6704,2028,3,2.0
11,20705745,513 N El Molino St, Alhambra CA 91801,34.1050702235,-118.119025932,0,863162,906320,820004,"572,600",647230.0,2017,1938,7884,1466,3,1.5
12,20698073,1121 N Monterey St, Alhambra CA 91801,34.1062335803,-118.132551543,0,2488475,2637784,2164973,"572,600",554378.0,2017,1937,6083,3757,3,4.0
13,20717621,1423 S Almansor St, Alhambra CA 91801,34.0779191699,-118.116959495,0,780995,820045,741945,"572,600",362761.0,2017,1951,8405,1892,4,3.0
14,20709037,105 E Beacon St, Alhambra CA 91801,34.0920092449,-118.123027367,0,575805,604595,547015,"572,600",457980.0,2017,1989,13241,1350,3,3.0
15,20708916,412 S 2nd St, Alhambra CA 91801,34.0898075482,-118.125579427,0,1064542,1117769,1011315,"572,600",532468.0,2017,1996,7499,2861,4,4.0
16,20709314,529 E Mission Rd, Alhambra CA 91801,34.0922493598,-118.112439011,0,557161,585019,529303,"572,600",194909.0,2017,1980,871,1610,3,3.0
17,20716464,1600 S Campbell Ave, Alhambra CA 91803,34.074777786,-118.142733854,0,796711,836547,756875,"572,600",178129.0,2017,1965,7907,2040,3,2.0
