,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms
0,20825166,1010 Omer Ln, Burbank CA 91502,34.1677262479,-118.305972272,0,862895,906040,819750,"704,400",378788.0,2017,1944,6592,1612,4,2.0
1,20065948,2601 W Oak St, Burbank CA 91505,34.1614284398,-118.331195625,0,1064774,1118013,1011535,"704,400",560430.0,2017,1977,6267,2161,4,2.0
2,20054209,907 E Orange Grove Ave, Burbank CA 91501,34.1901717527,-118.301153945,0,816428,857249,775607,"704,400",137700.0,2017,1938,7453,1006,3,1.0
3,20049263,214 S Lincoln St, Burbank CA 91506,34.1619473946,-118.327250924,0,758370,796288,720452,"704,400",685000.0,2017,1949,7048,1156,2,2.0
4,20060944,1600 Tulare Ave, Burbank CA 91504,34.2027228977,-118.328088257,0,820865,861908,779822,"704,400",211628.0,2017,1949,8578,1431,2,1.0
5,20047601,1516 N Lima St, Burbank CA 91505,34.1780109631,-118.346855696,0,703321,738487,668155,"704,400",581981.0,2017,1940,6882,1200,2,1.0
6,20057251,2230 N Buena Vista St, Burbank CA 91504,34.1972051048,-118.337742696,0,654221,686932,621510,"704,400",46412.0,2017,1949,6379,924,3,1.0
7,20055246,532 Birmingham Rd, Burbank CA 91504,34.1966039286,-118.319713414,0,868592,912022,825162,"704,400",354264.0,2017,1951,7262,1332,3,2.0
8,20822902,520 E Elmwood Ave, Burbank CA 91501,34.1797817764,-118.297213857,0,676454,710277,642631,"704,400",254891.0,2017,1982,23395,1743,2,3.0
9,20060170,3425 Brace Canyon Rd, Burbank CA 91504,34.2175368521,-118.32194417,0,1241727,1365900,1154806,"704,400",675386.0,2017,1979,10003,2519,3,3.0
10,20060426,3421 Haven Way, Burbank CA 91504,34.2107134091,-118.321536366,0,1394567,1492187,1324839,"704,400",849643.0,2017,1987,13677,2968,4,2.5
11,20051217,1009 N Brighton St, Burbank CA 91506,34.1775594155,-118.33654798,0,825771,867060,784482,"704,400",100728.0,2017,1929,7198,1565,3,2.0
12,20054592,1018 E Verdugo Ave, Burbank CA 91501,34.1882893778,-118.295140374,0,825010,866260,783760,"704,400",163842.0,2017,1924,7622,1128,3,1.0
13,20033995,9437 Via Monique, Burbank CA 91504,34.2142758001,-118.338065444,0,523220,549381,497059,"457,800",212667.0,2017,1978,195306,1244,2,3.0
14,20059331,925 Uclan Dr, Burbank CA 91504,34.2001278358,-118.313988127,0,1320012,1386013,1254011,"704,400",620006.0,2017,1951,7380,3464,4,3.0
15,20058053,1801 N Kenneth Rd, Burbank CA 91504,34.1999177176,-118.318327753,0,809373,849842,768904,"704,400",467964.0,2017,1951,6207,1349,3,1.0
16,20059627,849 Stephen Rd, Burbank CA 91504,34.2049013261,-118.321313044,0,1359750,1441335,1291763,"704,400",655939.0,2017,1954,12918,3106,4,3.0
17,20054059,807 E Magnolia Blvd, Burbank CA 91501,34.1904115446,-118.304480614,0,1500091,1605097,1410086,"704,400",1214679.0,2017,1990,7548,3510,5,4.0
18,20064293,3100 W Clark Ave, Burbank CA 91505,34.1660791983,-118.339158379,0,886086,930390,841782,"704,400",483405.0,2017,1944,8186,1598,3,3.0
19,20055053,737 Tufts Ave, Burbank CA 91504,34.197743365,-118.315649996,0,896872,941716,852028,"704,400",610227.0,2017,1951,6934,1515,3,2.0
20,20051476,910 N Orchard Dr, Burbank CA 91506,34.1802837205,-118.330827311,0,899636,944618,854654,"704,400",421617.0,2017,1939,5623,1670,4,3.0
21,20060255,2911 Joaquin Dr, Burbank CA 91504,34.210067142,-118.326065398,0,1033467,1085140,981794,"704,400",1159820.0,2017,1971,7564,2119,4,2.75
22,20058740,1021 N Sunset Canyon Dr, Burbank CA 91504,34.1991833719,-118.306175761,0,1698486,1783410,1596577,"704,400",1032448.0,2017,1958,10018,3644,4,5.0
23,20056484,2120 N Screenland Dr, Burbank CA 91505,34.1874945347,-118.351082504,0,633986,665685,602287,"704,400",398137.0,2017,1941,6751,918,2,1.0
24,20049151,201 S Orchard Dr, Burbank CA 91506,34.1657455632,-118.323746894,0,1041749,1104254,989662,"704,400",504085.0,2017,1947,9449,2103,2,2.0
25,20049707,341 S Virginia Ave, Burbank CA 91506,34.1663097194,-118.316893255,0,878450,922372,834528,"704,400",501798.0,2017,1944,7463,1597,4,2.0
26,20059572,837 Stanford Rd, Burbank CA 91504,34.2035059492,-118.320289195,0,937694,984579,890809,"704,400",91156.0,2017,1954,8962,1588,3,2.0
27,20059084,936 Delaware Rd, Burbank CA 91504,34.1966659184,-118.308915205,0,956943,1004790,909096,"704,400",131576.0,2017,1952,7429,1671,4,2.0
28,20052423,252 W Tujunga Ave, Burbank CA 91502,34.172589885,-118.313746093,0,952454,1000077,904831,"704,400",350542.0,2017,1925,7749,1912,3,2.0
29,20065394,347 N Fairview St, Burbank CA 91505,34.1610462828,-118.336985127,0,1102554,1157682,1047426,"704,400",887243.0,2017,1926,6098,2272,4,3.0
30,60325224,1899 Thurber Pl, Burbank CA 91501,34.193864139,-118.282187807,0,1027861,1079254,976468,"704,400",804440.0,2017,1967,7824,1832,3,3.0
31,95609509,1209 E Elmwood Ave, Burbank CA 91501,34.1939363138,-118.287104051,0,4278122,4577591,3935872,"704,400",1695427.0,2017,2008,313020,7288,5,5.0
32,20057080,2333 N Catalina St, Burbank CA 91504,34.1949771483,-118.341522578,0,790554,830082,751026,"704,400",110538.0,2017,1939,6861,1801,3,2.0
33,20065838,230 N California St, Burbank CA 91505,34.1570161817,-118.336502639,0,860689,903723,817655,"704,400",77651.0,2017,1948,6730,1445,3,2.0
