,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms
0,20834498,Bicycle Path, Los Angeles CA 90039,34.1454520139,-118.277311324,0,1002188,1052297,952079,"833,700",323300.0,2017,1924,7143,2000,2,2.0
1,20839498,1848 Sherer Ln, Glendale CA 91208,34.1728149241,-118.224315831,0,1562046,1640148,1483944,"893,900",514355.0,2017,1978,47204,2860,3,3.0
2,20819723,1914 Polaris Dr, Glendale CA 91208,34.176859381,-118.236461868,0,1243694,1305879,1181509,"893,900",603941.0,2017,1971,29567,2092,3,2.0
3,20829562,606 South St, Glendale CA 91202,34.1623988062,-118.269522476,0,645286,684003,567852,"792,200",55927.0,2017,1924,5993,1091,2,1.0
4,20825853,1412 Lake St, Glendale CA 91201,34.1590977287,-118.292685097,0,775450,814222,736678,"641,600",566100.0,2017,1964,7499,1274,3,2.0
5,20830355,730 Patterson Ave, Glendale CA 91202,34.1572300714,-118.271541642,0,803921,844117,763725,"720,000",82337.0,2017,1927,5476,1543,3,2.0
6,20842955,2242 E Chevy Chase Dr, Glendale CA 91206,34.1588865319,-118.217970613,0,905009,950259,859759,"936,400",649588.0,2017,1921,9409,1504,3,2.0
7,20826346,1314 Norton Ave, Glendale CA 91202,34.1669507266,-118.274279952,0,1031017,1082568,979466,"792,200",104517.0,2017,1935,12050,1804,3,2.0
8,20835948,1201 E Broadway, Glendale CA 91205,34.1465658863,-118.238999598,0,931473,978047,884899,"438,800",363524.0,2017,1946,5744,2111,4,3.0
9,20827302,1510 Virginia Ave, Glendale CA 91202,34.1709613626,-118.269745075,0,1580709,1659744,1485866,"792,200",639743.0,2017,1960,20898,2686,3,3.0
10,20836584,826 N Glendale Ave, Glendale CA 91206,34.158215612,-118.239763734,0,728738,765175,692301,"833,700",243129.0,2017,1923,6559,1173,2,2.0
11,20835081,CA-2, Glendale CA,34.1665819203,-118.225010816,0,535754,562542,508966,"438,800",403864.0,2017,1987,24762,1133,2,3.0
12,20843472,900 Calle Del Pacifico, Glendale CA 91208,34.1650552356,-118.216943413,0,1257818,1320709,1194927,"929,700",728681.0,2017,1989,7975,2618,4,3.0
13,20847283,1201 Oakridge Dr, Glendale CA 91205,34.1321415296,-118.24535905,0,904467,949690,859244,"683,800",149549.0,2017,1936,6302,1724,4,3.0
14,20832280,405 Chester St, Glendale CA 91203,34.1518452479,-118.270118034,0,1092564,1201820,1037936,"452,900",693819.0,2017,1923,6804,2344,5,3.0
