,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms
0,20337825,916 Holly St, Inglewood CA 90301,33.9515920969,-118.364235439,0,477816,501707,453925,"415,200",64935.0,2017,1930,3899,720,2,1.0
1,20333202,223 Stepney St, Inglewood CA 90302,33.9717209127,-118.354515789,0,421203,442263,395931,"415,200",355540.0,2017,1923,871,768,2,1.0
2,20340510,8716 Endsleigh Ave, Inglewood CA 90305,33.959061424,-118.339606814,0,422383,443502,401264,"415,200",259001.0,2017,1987,70633,1199,3,2.0
3,20340283,8808 Penridge Pl, Inglewood CA 90305,33.9564175287,-118.33623145,0,563314,591480,535148,"415,200",295265.0,2017,1986,126260,1922,3,3.0
4,20324062,216 W 64th Pl, Inglewood CA 90302,33.9800439464,-118.3610813,0,816684,857518,775850,"415,200",456062.0,2017,1937,6142,2254,4,3.0
5,20344376,3746 W 107th St, Inglewood CA 90303,33.9387011314,-118.339070907,0,927684,992622,844192,"415,200",680000.0,2017,1990,7834,2878,8,6.0
6,51582098,4954 Lennox Blvd, Inglewood CA 90304,33.9376009285,-118.365559416,0,810058,850561,769555,"415,200",53913.0,2017,1960,9136,2276,6,2.0
7,20332696,470 Edgewood St, Inglewood CA 90302,33.9707991843,-118.352393384,0,690799,725339,656259,"415,200",124375.0,2017,1959,6545,1840,3,2.0
8,2091789210,1 E Regent St, Inglewood CA 90301,33.9647145811,-118.355058643,0,449133,543451,426676,"415,200",281345.0,2017,1955,6753,1600,3,3.0
9,20347094,10707 Felton Ave, Inglewood CA 90304,33.9389476352,-118.365919166,0,666091,699396,632786,"415,200",363478.0,2017,1949,6493,1744,3,2.0
10,20329367,2523 W 80th St, Inglewood CA 90305,33.9664436133,-118.321101374,0,584478,613702,555254,"415,200",59738.0,2017,1939,6223,1723,3,2.0
11,20343717,3428 W 111th St, Inglewood CA 90303,33.9347489508,-118.332820944,0,684829,719070,650588,"415,200",228506.0,2017,1915,11877,1800,4,3.0
12,20331988,525 Hargrave St, Inglewood CA 90302,33.9790909334,-118.351503504,0,829466,870939,787993,"415,200",357306.0,2017,1923,6250,2366,6,4.0
13,20323996,309 W 64th Pl, Inglewood CA 90302,33.9805364585,-118.36259246,0,612325,642941,581709,"415,200",276765.0,2017,1930,6213,1025,2,1.0
14,20329133,3012 W 83rd St, Inglewood CA 90305,33.962918353,-118.326078215,0,602695,632830,572560,"415,200",447138.0,2017,1940,6250,1490,3,2.0
15,20330230,3211 W 81st St, Inglewood CA 90305,33.9656530427,-118.328107898,0,656178,688987,623369,"415,200",600514.0,2017,1961,8479,1769,3,2.0
16,20340842,8915 S 6th Ave, Inglewood CA 90305,33.9569029745,-118.323268155,0,595474,625248,565700,"415,200",162420.0,2017,1931,6750,1513,3,1.0
17,20330176,3206 W 82nd St, Inglewood CA 90305,33.964274734,-118.327951285,0,572913,601559,544267,"415,200",202468.0,2017,1940,5956,1180,2,1.0
18,20334524,5 Pine Ct, Inglewood CA 90302,33.9692253752,-118.363046638,0,667626,701007,634245,"415,200",581000.0,2017,1979,4991,1520,4,2.0
19,20324359,209 E Fairview Blvd, Inglewood CA 90302,33.980027968,-118.356262188,0,740066,784470,703063,"415,200",74308.0,2017,1926,6510,1948,2,2.0
20,20324332,211 E 64th Pl, Inglewood CA 90302,33.9809919839,-118.35648129,0,764690,802924,726456,"415,200",751000.0,2017,1926,7229,1628,4,2.0
21,20343310,3517 W 108th St, Inglewood CA 90303,33.9379984357,-118.333334296,0,1059078,1133213,953170,"415,200",350821.0,2017,1961,8315,5092,8,7.0
22,20340161,3609 Kensley Dr, Inglewood CA 90305,33.9569092193,-118.333824153,0,529317,555783,502851,"415,200",296672.0,2017,1986,113954,1437,3,3.0
23,20337667,715 Walnut St, Inglewood CA 90301,33.9546913693,-118.356659162,0,924962,998959,804717,"415,200",618650.0,2017,1952,9315,3292,6,5.0
24,20344562,3729 W 110th St, Inglewood CA 90303,33.9360210277,-118.338456261,0,794658,866177,754925,"415,200",266281.0,2017,1959,9031,2508,6,3.0
25,20343166,10509 S 6th Ave, Inglewood CA 90303,33.9406047511,-118.323157543,0,663503,696678,630328,"415,200",313852.0,2017,1954,6881,1852,4,3.0
26,20343265,10703 8th Ave, Inglewood CA 90303,33.938948959,-118.325318312,0,626799,658139,595459,"415,200",85171.0,2017,1954,6674,1805,3,2.0
27,20336155,235 W Queen St, Inglewood CA 90301,33.9631272237,-118.359024752,0,3073186,5255148,2458549,"415,200",578903.0,2017,1965,8995,10072,17,17.0
28,20329911,3408 W 85th St, Inglewood CA 90305,33.9614442686,-118.332276917,0,632553,664181,600925,"415,200",228728.0,2017,1941,7011,1583,3,2.0
29,20398344,5350 W 119th St, Inglewood CA 90304,33.9252350661,-118.373895121,0,796418,836239,756597,"415,200",284713.0,2017,1940,7026,1317,4,2.0
30,20353591,3518 W 118th St, Inglewood CA 90303,33.9266943361,-118.333822854,0,1063165,1126955,978112,"415,200",265931.0,2017,1966,7380,3732,6,5.0
31,20338802,911 Larch St, Inglewood CA 90301,33.9522606491,-118.351296216,0,670581,710816,637052,"415,200",188714.0,2017,1952,5194,1972,4,2.0
32,20336153,112 N Eucalyptus Ave, Inglewood CA 90301,33.9633442254,-118.359123327,0,765626,803907,727345,"415,200",185715.0,2017,1948,8008,2458,3,2.0
33,20336267,632 E Regent St, Inglewood CA 90301,33.9640147253,-118.345243077,0,528362,554780,501944,"415,200",222438.0,2017,1979,2696,1290,2,1.5
34,20329066,3005 W 82nd St, Inglewood CA 90305,33.9651304066,-118.325584554,0,575224,603985,546463,"415,200",270915.0,2017,1938,5250,1320,2,2.0
35,20341500,9718 S 8th Ave, Inglewood CA 90305,33.9474442258,-118.325036952,0,572805,601445,544165,"415,200",243128.0,2017,1942,6752,1304,3,1.0
36,20333279,133 E Hazel St, Inglewood CA 90302,33.9691665787,-118.355385031,0,672570,712924,638942,"415,200",527000.0,2017,1953,4959,1410,3,3.0
37,20341272,9316 S 3rd Ave, Inglewood CA 90305,33.9518857279,-118.319916079,0,596646,626478,566814,"415,200",64587.0,2017,1939,8514,1410,3,2.0
38,20347327,10705 Buford Ave, Inglewood CA 90304,33.9391748118,-118.364269929,0,482218,506329,458107,"415,200",33744.0,2017,1941,6498,806,2,1.0
39,20339908,8808 S 11th Ave, Inglewood CA 90305,33.9576698232,-118.32836584,0,572065,600668,543462,"415,200",153717.0,2017,1937,6651,1396,2,1.0
40,20334153,837 Glenway Dr, Inglewood CA 90302,33.9713052871,-118.367248339,0,1089224,1187254,991194,"415,200",581689.0,2017,1957,6020,3056,5,4.0
41,20341064,9101 S 4th Ave, Inglewood CA 90305,33.9551607972,-118.321276147,0,557500,585375,529625,"415,200",55922.0,2017,1949,8505,1321,2,1.0
42,20336450,615 Manchester Dr, Inglewood CA 90301,33.9607661454,-118.346954509,0,638143,670050,606236,"415,200",76789.0,2017,1926,7292,1660,4,2.0
