,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms
0,245330328,2001 Willow Street Pike, Lancaster PA 17602,40.0043066256,-76.2943631229,0,255572,268351,242793,"229,200",172000.0,2017,1940,19602,1874,5,2.0
1,9728809,2112 Hollinger Rd, Lancaster PA 17602,40.0005108999,-76.2947090535,0,243879,260951,224369,"229,200",186500.0,2017,1972,27878,1682,3,2.5
2,9728732,200 Woodfield Crossing, Lancaster PA 17602,40.0013441597,-76.2817468869,0,863265,923694,776939,"204,100",611600.0,2017,1994,217800,6409,4,5.0
3,9759803,1422 Clayton Rd, Lancaster PA 17603,40.052536187600005,-76.33429514859999,0,299303,317261,278352,"212,200",180600.0,2017,1968,14810,2146,4,3.0
4,9757592,1956 Melody Ln, Lancaster PA 17601,40.079346281199996,-76.3111290063,0,277867,291760,263974,"212,200",189500.0,2017,1955,16553,2100,3,2.0
5,245330211,140 Woodfield Crossing, Lancaster PA 17602,40.0011534726,-76.2894019192,0,797907,941530,702158,"204,100",755000.0,2017,2007,169884,11990,6,6.5
6,9758039,1726 Crooked Oak Dr, Lancaster PA 17601,40.0721549923,-76.2922775722,0,181540,190617,172463,"212,200",121200.0,2017,1965,13504,1075,3,1.0
7,9760424,408 Rutledge Ave, Lancaster PA 17601,40.0639875779,-76.2975481388,0,219860,230853,200073,"212,200",148100.0,2017,1965,10890,1248,4,3.0
8,245339886,1924 Willow Street Pike, Lancaster PA 17602,40.005605135100005,-76.2962511539,0,175755,191573,159937,"229,200",132400.0,2017,1910,8712,1602,3,2.0
9,9719899,761 Barr Blvd, Lancaster PA 17603,40.0527386759,-76.3465166456,0,292042,306644,277440,"242,000",211800.0,2017,1965,16117,1107,4,2.5
10,9728730,1250 Eshelman Mill Rd, Lancaster PA 17602,40.006104716100005,-76.283369917,0,388668,411988,357575,"204,100",271400.0,2017,1987,253084,1744,3,2.5
11,9758696,1266 Belle Meade Dr, Lancaster PA 17601,40.0699963575,-76.2798500305,0,386935,410151,363719,"212,200",310500.0,2017,1998,18730,2530,3,3.0
12,54240073,515 2nd Lock Rd, Lancaster PA 17603,40.000849127600006,-76.3202945003,0,322906,348738,300303,"214,500",193200.0,2017,1969,126324,1484,3,2.5
