,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms
0,21233946,817 Cherry Ave, Long Beach CA 90813,33.77754728,-118.167895,0,1065030,1139582,979828,"315,000",650328,2017,1923,6486,3390,8,5
1,21226395,2900 E 7th St, Long Beach CA 90804,33.77503406,-118.1578571,0,866350,918331,814369,"534,700",609730,2017,1908,7251,2072,5,2
2,21226329,625 Coronado Ave, Long Beach CA 90814,33.77409623,-118.1538201,0,1040267,1102683,936240,"534,700",390751,2017,1911,6751,2696,6,4
3,21194495,2435 Pine Ave, Long Beach CA 90806,33.80151938,-118.1927523,0,532704,559339,506069,"474,200",290466,2017,1938,4991,1356,2,1
4,2146964408,646 Nebraska Ave, Long Beach CA 90802,33.77509662,-118.1732333,0,349983,370982,293986,"315,000",239000,2017,1986,6743,892,2,2
5,21285056,2543 Fashion Ave, Long Beach CA 90812,33.80377356,-118.2090476,0,505077,530331,479823,"393,800",206354,2017,1929,5228,1725,4,2
6,21148805,E Rd, Long Beach CA 90810,33.79723997,-118.2257628,0,484625,508856,460394,"391,700",445000,2017,1942,5200,1246,2,2
7,21230235,3401 E First St, Long Beach CA 90803,33.7625478,-118.1520125,0,650295,682810,617780,"725,800",402269,2017,1966,5516,1459,2,2
8,21192471,2371 Magnolia Ave, Long Beach CA 90806,33.79997385,-118.1985587,0,740869,777912,703826,"474,200",407311,2017,1941,7119,2712,4,3
9,21235386,422 E 14th St, Long Beach CA 90813,33.78347883,-118.1873642,0,622363,653481,591245,"397,200",198631,2017,1914,2252,2298,4,2
10,21284962,2534 Adriatic Ave, Long Beach CA 90810,33.80325655,-118.2143042,0,523813,550004,497622,"393,800",189760,2017,1960,5097,1806,5,2
11,21192935,1936 Maine Ave, Long Beach CA 90806,33.79249903,-118.2001979,0,531982,558581,505383,"474,200",362443,2017,1937,6969,1164,3,1
12,21248206,1810 W Wilma Pl, Long Beach CA 90810,33.80478921,-118.2171837,0,514860,540603,489117,"393,800",330381,2017,1942,6601,1498,2,2
13,21229342,1 Junipero Ave, Long Beach CA 90803,33.76348236,-118.1667232,0,488919,513365,464473,"481,600",450000,2017,1967,13271,1208,2,2
14,2128664093,500 Orange Ave, Long Beach CA 90802,33.77271151,-118.1763238,0,486709,671658,369899,"315,000",407311,2017,1941,7119,575,1,1
15,21237255,855 Lime Ave, Long Beach CA 90813,33.7775288,-118.1838397,0,510957,536505,485409,"288,800",86434,2017,1918,5002,1550,3,2
16,21195445,2680 Cedar Ave, Long Beach CA 90806,33.80596193,-118.1944365,0,547232,574594,519870,"474,200",375030,2017,1941,6000,1266,2,1.5
17,21225816,265 Loma Ave, Long Beach CA 90803,33.76739101,-118.1507171,0,1449250,1521712,1376788,"725,800",515998,2017,1976,6075,3100,6,5
18,21225251,374 Redondo Ave, Long Beach CA 90814,33.77089428,-118.152183,0,1361631,1470561,1293549,"725,800",116355,2017,1935,12501,3234,8,3
19,21228852,508 Cherry Ave, Long Beach CA 90802,33.77369902,-118.1671902,0,670192,703702,636682,"534,700",144664,2017,1912,5190,976,2,1
20,21226468,3211 E Wilton St, Long Beach CA 90804,33.78786468,-118.1541856,0,1152661,1279454,1048922,"334,100",649354,2017,1966,6751,4191,9,5
21,21230492,2625 E Ocean Blvd, Long Beach CA 90803,33.76328126,-118.1617129,0,3200442,3584495,2976411,"512,800",2582243,2017,1930,10999,7100,6,6
22,21192620,1925 San Francisco Ave, Long Beach CA 90806,33.79222214,-118.2037033,0,552561,580189,524933,"474,200",184848,2017,1947,6359,1700,5,3
23,21233150,437 Zona Ct, Long Beach CA 90802,33.77247029,-118.180723,0,501660,526743,456511,"315,000",72602,2017,1919,3765,1236,3,2
24,21225633,2844 E 3rd St, Long Beach CA 90814,33.76788108,-118.1578999,0,358388,376307,340469,"481,600",304470,2017,1972,15000,808,1,1
25,21229342,1 Junipero Ave, Long Beach CA 90803,33.76289206,-118.1649821,0,488919,513365,464473,"481,600",450000,2017,1967,13271,1208,2,2
26,2130922456,1626 Obispo Ave, Long Beach CA 90804,33.7871623,-118.1541248,0,341515,375666,297118,"334,100",150432,2017,1925,6098,900,2,1
27,21195087,3041 Cedar Ave, Long Beach CA 90806,33.81250518,-118.194951,0,509191,534651,483731,"474,200",422636,2017,1917,5401,1129,3,1
28,21196843,930 E Dayman St, Long Beach CA 90806,33.79055636,-118.1810403,0,442894,465039,420749,"397,200",293904,2017,1915,5837,1068,3,2
29,21226851,3116 E 15th St, Long Beach CA 90804,33.78590551,-118.1551977,0,778829,817770,739888,"334,100",673776,2017,1921,6534,2464,7,0.5
30,21197028,2014 Lewis Ave, Long Beach CA 90806,33.79387971,-118.1791584,0,696146,751838,640454,"397,200",600363,2017,1912,6516,2783,8,4
31,21235696,718 N Loma Vista Dr, Long Beach CA 90813,33.7759835,-118.2013886,0,641030,673081,608979,"322,000",331169,2017,1919,7992,1990,5,3
32,21197277,1341 E Wesley Dr, Long Beach CA 90806,33.79498783,-118.1741893,0,424334,445551,403117,"397,200",209954,2017,1919,6590,784,2,1
33,21196925,1084 E 19th St, Long Beach CA 90806,33.79108359,-118.1789133,0,686507,720832,652182,"397,200",79782,2017,1962,2494,2100,4,4
34,21195113,3027 Pacific Avenue, Long Beach CA 90806,33.81219035,-118.1939352,0,497602,522482,472722,"474,200",155733,2017,1952,4557,980,3,2
35,21191866,2756 Maine Ave, Long Beach CA 90806,33.80729511,-118.200048,0,692845,727487,658203,"474,200",339651,2017,1938,4915,2448,4,3
36,21225119,372 Temple Ave, Long Beach CA 90814,33.77147469,-118.1589373,0,777760,816648,738872,"481,600",562989,2017,1940,6747,1300,3,2
37,21226074,2828 E 10th St, Long Beach CA 90804,33.77875471,-118.1582457,0,507826,533217,482435,"534,700",183183,2017,1908,2800,1150,2,2
38,21236612,628 Daisy Ave, Long Beach CA 90802,33.7751418,-118.1992004,0,316060,331863,300257,"303,200",132106,2017,1984,915,827,2,1
39,21196040,2143 Pasadena Ave, Long Beach CA 90806,33.79610736,-118.187419,0,460996,484046,437946,"397,200",251971,2017,1907,7405,1162,3,2
40,21231891,1139 E Ocean Blvd, Long Beach CA 90802,33.76592438,-118.1780459,0,413853,434546,393160,"523,600",310673,2017,1959,435,1104,2,2
41,21229342,1 Junipero Ave, Long Beach CA 90803,33.75926082,-118.1644195,0,488919,513365,464473,"481,600",450000,2017,1967,13271,1208,2,2
42,21228451,1099 St Louis Ave, Long Beach CA 90804,33.78059295,-118.1669925,0,360189,378198,342180,"352,900",330000,2017,1922,1632,700,1,1
43,21285437,2370 Fashion Ave, Long Beach CA 90810,33.80025647,-118.2087225,0,440881,462925,418837,"393,800",99089,2017,1942,5119,1098,3,1
44,21192636,1935a Golden Ave, Long Beach CA 90806,33.79262481,-118.2024434,0,554975,582724,527226,"474,200",168300,2017,1931,6591,1156,2,2
45,21191988,2676 San Francisco Ave, Long Beach CA 90806,33.80577447,-118.2033368,0,573616,602297,544935,"474,200",189701,2017,1941,6519,1578,3,2
46,21229342,1 Junipero Ave, Long Beach CA 90803,33.75602098,-118.1716627,0,488919,513365,464473,"481,600",450000,2017,1967,13271,1208,2,2
47,111372468,905 Atlantic Ave, Long Beach CA 90813,33.77804376,-118.1852257,0,315035,333937,299283,"288,800",238263,2017,1958,22564,730,2,1
48,21233828,1077 Gaviota Ave, Long Beach CA 90813,33.78043432,-118.1713439,0,712123,747729,676517,"315,000",421634,2017,1930,6114,2296,5,3
49,21235693,739 Maine Ave, Long Beach CA 90813,33.77610967,-118.2011357,0,823426,872832,741083,"322,000",152995,2017,1931,6707,3163,8,4
50,21228196,1436B Cherry Ave, Long Beach CA 90813,33.78560659,-118.1675233,0,348453,365876,313608,"334,100",97080,2017,1923,1440,520,1,1
51,21154476,E Rd, Long Beach CA 90810,33.79544429,-118.2255092,0,314012,329713,282611,"391,700",202127,2017,1949,2278,441,1,0.75
52,21196908,1865 Lewis Ave, Long Beach CA 90806,33.79074997,-118.1798893,0,485100,509355,460845,"397,200",413000,2017,1990,2601,1424,3,3
53,2109184731,416 Maine Ave, Long Beach CA 90802,33.77200108,-118.2003737,0,447312,563613,375742,"303,200",216376,2017,1991,54306,1025,2,2
54,21248278,2640 Santa Fe Ave, Long Beach CA 90810,33.80543234,-118.2152285,0,670827,704368,637286,"393,800",650000,2017,1942,7954,2562,4,4
