,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms
0,20627590,152 N Park View St, Los Angeles CA 90026,34.0695198849,-118.272726428,0,729218,765679,692757,"494,000",165077.0,2017,1913,7993,1135,2,1.0
1,20744068,2518 Berkeley Ave, Los Angeles CA 90026,34.0853343584,-118.26515622,0,936917,983763,861964,"910,300",42810.0,2017,1921,6706,856,3,2.0
2,20743882,1890 Silver Lake Blvd, Los Angeles CA 90026,34.0916068335,-118.264219076,0,860411,903432,817390,"910,300",994165.0,2017,1991,6906,1400,2,2.0
3,20744507,2225 Montana St, Los Angeles CA 90026,34.0821147797,-118.264322314,0,1348463,1483309,1254071,"910,300",116738.0,2017,1905,3988,3316,6,4.0
4,20742926,2012 Valentine St, Los Angeles CA 90026,34.0878383002,-118.248900103,0,913231,1013686,840173,"737,100",216112.0,2017,1930,7478,1144,2,2.0
5,20631208,145 S Dacotah St, Los Angeles CA 90063,34.0384480692,-118.201005024,0,442249,464361,420137,"379,500",260517.0,2017,1911,3028,1279,3,2.0
6,20630943,2822 Cincinnati St, Los Angeles CA 90033,34.044764051,-118.201155062,0,449982,472481,427483,"379,500",191096.0,2017,1921,5940,888,3,1.0
7,20632357,212 S Chicago St, Los Angeles CA 90033,34.0432527595,-118.213125067,0,363683,392778,341862,"379,500",193482.0,2017,1909,1829,792,1,1.0
8,20629337,415 N Soto St, Los Angeles CA 90033,34.0482505091,-118.207359256,0,490169,524481,465661,"379,500",108858.0,2017,1910,5877,1308,3,1.0
9,20740124,1421 Carroll Ave, Los Angeles CA 90026,34.0702228423,-118.255604822,0,1331564,1464720,1251670,"737,100",371751.0,2017,1916,7493,3386,8,4.0
10,20637489,2434 Johnston St, Los Angeles CA 90031,34.074630024,-118.209786661,0,700260,735273,665247,"444,000",243320.0,2017,1917,10732,2737,4,2.0
11,65242578,1504 E 20th St, Los Angeles CA 90011,34.0199370634,-118.24646582,0,514923,540669,489177,"358,800",275722.0,2017,1994,5595,2000,4,2.0
12,20740340,720 E Edgeware Rd, Los Angeles CA 90026,34.068473327,-118.252736776,0,1025722,1097523,943664,"737,100",585269.0,2017,1926,8600,1802,2,2.0
13,79805178,620 W 6th St, Los Angeles CA 90017,34.0487284652,-118.256237214,0,456991,479841,434141,"494,600",227271.0,2017,1962,26607,700,1,1.0
14,20742249,2007 Lake Shore Ave, Los Angeles CA 90039,34.0897216428,-118.255029461,0,1133404,1224076,1076734,"737,100",582507.0,2017,1998,7492,1444,3,2.5
15,20629575,1944 Sheridan St, Los Angeles CA 90033,34.0524832614,-118.212001486,0,526889,553233,500545,"379,500",344670.0,2017,1924,4393,1696,3,3.0
16,20626582,435 S Lafayette Park Pl, Los Angeles CA 90057,34.065047306,-118.282798891,0,568098,596503,539693,"494,000",453900.0,2017,1981,47044,1428,2,2.0
