,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms
0,72541479,700 Union St, Pasadena CA 91101,34.1473299862,-118.135441909,0,577024,605875,548173,"482,700",135043.0,2017,2006,26880,950,1,2.0
1,2106909816,330 Cordova St, Pasadena CA 91101,34.141597666,-118.143867143,0,1214513,2113253,923030,"572,200",630000.0,2017,1981,144183,144285,2,3.0
2,20858967,1100 Hermosa Rd, Pasadena CA 91105,34.1358318736,-118.171880942,0,2513698,2639383,2337739,"1,083,500",977851.0,2017,1951,18175,3272,5,4.0
3,20858808,71 San Miguel Rd, Pasadena CA 91105,34.1403060129,-118.175355112,0,1613099,1726016,1435658,"1,083,500",223718.0,2017,1945,8982,2876,4,3.0
4,20875379,36 S Parkwood Ave, Pasadena CA 91107,34.1452457929,-118.111596204,0,1528346,1635330,1390795,"791,300",126860.0,2017,1950,8165,3246,6,5.0
5,20857528,625 Prospect Blvd, Pasadena CA 91103,34.1542420084,-118.160652325,0,2955682,3103466,2778341,"1,034,100",985889.0,2017,1906,21263,3332,5,4.0
6,20856216,1121 Heatherside Rd, Pasadena CA 91105,34.1572352855,-118.17350292,0,1171254,1253242,1112691,"1,034,100",634939.0,2017,1953,30719,1490,2,2.0
7,20700555,1470 E California Blvd, Pasadena CA 91106,34.1354677588,-118.120088986,0,6759902,7368293,6083912,"791,300",1943630.0,2017,1921,49698,6500,6,6.5
8,20864615,1566 Mentone Ave, Pasadena CA 91103,34.1729080336,-118.157056063,0,744865,782108,707622,"589,700",364604.0,2017,1941,8208,1676,2,2.0
9,20855043,1463 Forest Ave, Pasadena CA 91103,34.1721410062,-118.163190217,0,742287,779401,705173,"1,034,100",458117.0,2017,1921,8979,1380,3,3.0
10,20856280,1300 Glen Oaks Blvd, Pasadena CA 91105,34.1552189624,-118.177717308,0,3450579,3623108,3243544,"1,034,100",2835086.0,2017,2005,23129,4703,5,5.0
11,20699603,1929 Mill Rd, South Pasadena CA 91030,34.1190514668,-118.142834709,0,2183360,2292528,2008691,"1,098,000",424848.0,2017,1948,10616,2422,4,4.0
12,20855805,1455 Chamberlain Rd, Pasadena CA 91103,34.1691329245,-118.181178782,0,2167085,2297110,2058731,"1,034,100",1116895.0,2017,1969,17110,3216,4,3.0
13,20699958,1233 Encino Dr, Pasadena CA 91108,34.1235816329,-118.13094441,0,4448247,4759624,4136870,"572,200",1874131.0,2017,1981,19967,4103,3,5.0
14,54668669,178 N Madison Ave, Pasadena CA 91101,34.1492894712,-118.13769878,0,730996,767546,694446,"482,700",432323.0,2017,2000,38964,1647,3,3.0
15,20697078,1432 Wayne Ave, South Pasadena CA 91030,34.108782352,-118.138735815,0,2298375,2459261,2091521,"1,098,000",273820.0,2017,1923,18816,2469,3,3.0
16,20861547,484 E California Blvd, Pasadena CA 91106,34.1356770702,-118.140075373,0,739525,776501,702549,"572,200",397765.0,2017,1983,56925,1506,2,3.0
17,20702705,433 S Greenwood Ave, Pasadena CA 91107,34.138499414,-118.111085664,0,1303442,1381649,1238270,"791,300",455298.0,2017,1946,7318,1975,3,2.0
18,20920179,1408 N Holliston Ave, Pasadena CA 91104,34.1704270412,-118.122348388,0,1072020,1125621,1007699,"769,000",74519.0,2017,1940,10187,2405,5,3.0
19,20855359,1600 La Vista Pl, Pasadena CA 91103,34.1751006938,-118.175284695,0,2504274,2629488,2303932,"1,034,100",188600.0,2017,1931,38650,3505,3,3.0
20,20865297,1079 Marengo Ave, Pasadena CA 91103,34.1644661551,-118.146354634,0,899735,944722,854748,"589,700",328247.0,2017,1909,11060,1879,4,3.0
21,20864698,270 Del Monte St, Pasadena CA 91103,34.1715707528,-118.156512648,0,638487,670411,606563,"589,700",145624.0,2017,1912,6214,1194,3,2.0
22,20870094,272 S Michigan Ave, Pasadena CA 91106,34.14118479,-118.12574974,0,1488719,1592929,1339847,"482,700",416168.0,2017,1920,7499,3549,8,4.0
23,20857487,475 Bellmore Way, Pasadena CA 91103,34.1530239896,-118.162137376,0,2367218,2485579,2248857,"1,034,100",244245.0,2017,1937,12555,3316,3,4.0
24,20699095,570 E Glenarm St, Pasadena CA 91106,34.1272560687,-118.138382791,0,3367818,3637243,3132071,"572,200",2446875.0,2017,1923,16024,3958,4,5.0
25,20874280,1808 Las Lunas St, Pasadena CA 91107,34.1563478686,-118.112976173,0,992305,1041920,942690,"619,900",573808.0,2017,1917,8999,2026,4,2.0
26,20870820,538 N Holliston Ave, Pasadena CA 91106,34.1553281272,-118.122538179,0,1596523,1724245,1436871,"482,700",436183.0,2017,1920,12001,4170,8,4.0
27,20694571,312 Fairview Ave, South Pasadena CA 91030,34.1224523029,-118.154759763,0,1222616,1283747,1161485,"1,098,000",347948.0,2017,1977,9413,1790,3,2.0
28,20858120,124 Waverly Dr, Pasadena CA 91105,34.1396120681,-118.153186924,0,800354,848375,760336,"1,083,500",286768.0,2017,1910,6753,971,3,1.0
29,20867427,497 E California Blvd, Pasadena CA 91106,34.1363227876,-118.140268544,0,620305,651320,589290,"572,200",535500.0,2017,1980,75664,1154,2,2.0
30,20856653,387 Mira Vista Terrace, Pasadena CA 91105,34.1516149301,-118.168274835,0,2635560,2793694,2451071,"1,034,100",860797.0,2017,1980,37842,3096,4,4.0
31,20861584,745 S Oakland Ave, Pasadena CA 91106,34.1329152539,-118.140002634,0,2404406,2524626,2284186,"572,200",712456.0,2017,1922,13019,3155,5,4.0
32,20870521,714 N Michigan Ave, Pasadena CA 91104,34.1583095799,-118.125308402,0,845174,887433,802915,"769,000",318500.0,2017,1913,6927,1440,3,2.0
33,20856077,1476 Rutherford Dr, Pasadena CA 91103,34.1620392779,-118.180653776,0,2971222,3119783,2763236,"1,034,100",1463996.0,2017,1988,18344,5128,5,5.0
34,20859850,686 S Arroyo Blvd, Pasadena CA 91105,34.1339329062,-118.165291632,0,2509301,2659859,2283464,"1,083,500",1711050.0,2017,1924,9191,3365,6,5.0
35,20875087,153 S Grand Oaks Ave, Pasadena CA 91107,34.143126142,-118.105364081,0,944170,991378,896962,"791,300",34378.0,2017,1911,8471,1547,5,2.0
36,20864924,1267 Sunset Ave, Pasadena CA 91103,34.1676489047,-118.155188246,0,888309,932724,843894,"589,700",391120.0,2017,1953,7603,1918,4,3.0
37,20694847,718 Hermosa St, South Pasadena CA 91030,34.1221363493,-118.160964672,0,2413770,2534458,2244806,"1,098,000",2152138.0,2017,1969,19972,3304,3,3.5
38,82870491,417 S Hudson Ave, Pasadena CA 91101,34.1387000322,-118.133967881,0,581263,610326,552200,"572,200",459019.0,2017,2004,29823,917,2,2.0
39,20861775,909 S El Molino Ave, Pasadena CA 91106,34.1301842599,-118.137075505,0,1367770,1463514,1299382,"572,200",102622.0,2017,1923,14002,1648,3,2.0
40,20862317,376 S Marengo Ave, Pasadena CA 91101,34.139150393,-118.145552371,0,400869,420912,376817,"572,200",175718.0,2017,1927,1655,593,1,1.0
41,20858553,125 S Grand Ave, Pasadena CA 91105,34.1432453866,-118.162567576,0,4894216,5236811,4551621,"1,083,500",2829658.0,2017,1908,75951,6790,6,5.0
42,20699488,544 Garfield Ave, South Pasadena CA 91030,34.1201877246,-118.143006464,0,935230,981991,888469,"1,098,000",1161867.0,2017,1953,153909,1852,3,4.0
43,65247408,1605 Pleasant Way, Pasadena CA 91105,34.1316823362,-118.180321287,0,1220060,1329865,1122455,"1,083,500",292272.0,2017,1933,14503,1846,2,2.0
44,20859062,430 Laguna Rd, Pasadena CA 91105,34.1346048735,-118.172698456,0,3402836,3572978,3198666,"1,083,500",2558137.0,2017,1922,25264,3955,3,5.0
