,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms
0,20208623,21563 Cleardale St, Santa Clarita CA 91321,34.38946621,-118.5100557,0,413606,454967,351565,"476,300",128569,2017,1915,436280,534,1,1
1,20205856,24001 Briardale Way, Santa Clarita CA 91321,34.35776376,-118.5397209,0,743508,780683,706333,"459,200",593077,2017,1985,15921,3059,4,3
2,20227938,26327 Emerald Dove Dr, Santa Clarita CA 91355,34.40468246,-118.5652478,0,514185,539894,483334,"530,000",436742,2017,1988,7083,1532,3,3
3,20210604,22405 Cardiff Dr, Santa Clarita CA 91350,34.40333323,-118.524928,0,768470,806893,730047,"476,300",672258,2017,1988,21498,2573,4,3
4,20227860,26215 Paolino Pl, Santa Clarita CA 91355,34.39924336,-118.5661404,0,656110,688915,623305,"530,000",579477,2017,1987,12000,1839,3,3
5,20222345,25458 Ave Escalera, Santa Clarita CA 91355,34.38649597,-118.552921,0,697020,731871,662169,"530,000",631734,2017,1969,7069,2327,4,3
6,20205334,23649 Newhall Ave, Santa Clarita CA 91321,34.36865694,-118.5181222,0,638108,689157,555154,"459,200",289438,2017,1948,118401,1530,3,1
7,20207160,23614 Neargate Dr, Santa Clarita CA 91321,34.37279675,-118.5469708,0,769070,807523,730617,"459,200",415000,2017,1964,12673,2200,4,4
8,20228830,24902 Avignon Dr, Santa Clarita CA 91355,34.41983207,-118.570755,0,621945,653042,590848,"530,000",196847,2017,1998,15447,1919,2,3
9,20205334,23649 Newhall Ave, Santa Clarita CA 91321,34.36657836,-118.5159849,0,638108,689157,555154,"459,200",289438,2017,1948,118401,1530,3,1
10,20218405,22503 Los Tigres Dr, Santa Clarita CA 91350,34.43075118,-118.5291402,0,526268,552581,499955,"476,300",399000,2017,1963,5869,1376,4,2
11,20196019,23401 Westford Pl, Santa Clarita CA 91354,34.43502397,-118.5440172,0,734017,770718,697316,"530,000",610093,2017,1989,6098,2829,4,3
12,20210437,25549 Sheffield Ln, Santa Clarita CA 91350,34.40493046,-118.5304491,0,604531,634758,574304,"476,300",567630,2017,1986,9234,1635,3,3
13,20225880,26028 Tourelle Pl, Santa Clarita CA 91355,34.39610882,-118.5636719,0,758984,796933,721035,"530,000",699900,2017,1986,7568,2536,4,3
14,20205856,24001 Briardale Way, Santa Clarita CA 91321,34.35572645,-118.5389675,0,743508,780683,706333,"459,200",593077,2017,1985,15921,3059,4,3
15,20226271,23402 Gaucho Ct, Santa Clarita CA 91355,34.41310606,-118.5439879,0,429091,450546,407636,"530,000",226130,2017,1985,8520,1128,3,2
16,20218450,26614 Gavilan Dr, Santa Clarita CA 91350,34.42862404,-118.5326853,0,548514,575940,521088,"476,300",63320,2017,1963,6678,1769,4,2
17,20205355,23960 Wildwood Canyon Rd, Santa Clarita CA 91321,34.36424848,-118.5289205,0,2118070,2414600,1948624,"459,200",1564797,2017,1989,391533,6742,5,6
18,94641939,26579 Bouquet Canyon Rd, Santa Clarita CA 91350,34.42946667,-118.5362537,0,738322,775238,701406,"476,300",614049,2017,2010,6169,3184,4,3
19,20206662,23463 Cherry St, Santa Clarita CA 91321,34.37703794,-118.5442091,0,328967,384891,299360,"459,200",42823,2017,1972,7405,800,2,1
20,20205561,23306 Maple St, Santa Clarita CA 91321,34.36913907,-118.5375639,0,1235285,1309402,1173521,"459,200",633745,2017,1983,23522,6105,4,5
21,20219256,25565 Vía Paladar, Santa Clarita CA 91355,34.38465088,-118.5614012,0,1362037,1498241,1266694,"530,000",940727,2017,1979,31333,4837,5,5
