,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms
0,21265915,1536 W 222nd St, Torrance CA 90501,33.82548772,-118.3052038,0,598835,628777,568893,"459,700",334276,2017,1952,7200,1549,3,2
1,20372467,3132 185th St, Torrance CA 90504,33.86263708,-118.3279669,0,721006,757056,684956,"630,700",320768,2017,1950,6499,1256,3,2
2,21332589,4109 Emerald St, Torrance CA 90503,33.84210434,-118.3570452,0,1451973,1655249,1176098,"744,600",541658,2017,1963,6901,4302,8,6
3,21279166,2127 W 237th St, Torrance CA 90501,33.80996584,-118.3182728,0,875936,919733,832139,"741,900",105357,2017,1965,5784,2154,5,3
4,21328017,21734 Evalyn Ave, Torrance CA 90503,33.83074339,-118.3621357,0,957442,1005314,909570,"809,400",934000,2017,1955,6227,1740,4,2
5,21333339,4202 Carmen St, Torrance CA 90503,33.83297202,-118.358228,0,930185,976694,883676,"809,400",439353,2017,1956,5601,1720,3,3
6,20372624,18700 Crenshaw Blvd, Torrance CA 90504,33.86125841,-118.3253752,0,604186,634395,573977,"630,700",386720,2017,1951,5644,850,3,1
7,21333846,22733 Anza Ave, Torrance CA 90505,33.82160254,-118.3601114,0,859126,902082,816170,"869,800",643589,2017,1953,5375,1616,3,1
8,2117437376,2602 Cabrillo Ave, Torrance CA 90501,33.82135613,-118.3146604,0,753742,829116,693443,"595,500",461549,2017,1990,5505,1952,4,3
9,21274049,1924 Middlebrook Rd, Torrance CA 90501,33.81725868,-118.3141572,0,899318,944284,854352,"741,900",754510,2017,1948,6381,2339,4,3
10,21283053,22741 Date Ave, Torrance CA 90505,33.81956326,-118.3294269,0,805505,845780,765230,"869,800",109586,2017,1960,6163,1470,3,2
11,21330330,19802 Tomlee Ave, Torrance CA 90503,33.85162029,-118.3770901,0,1022016,1073117,970915,"595,500",564769,2017,1970,5000,1667,3,2
12,20375842,2707 W 179th St, Torrance CA 90504,33.8686629,-118.3235357,0,717283,753147,681419,"613,300",93109,2017,1953,5151,1580,3,2
13,20374042,17119 Faysmith Ave, Torrance CA 90504,33.87459587,-118.3315888,0,768533,806960,730106,"630,700",317550,2017,1963,7015,1740,4,2
14,21329899,5405 Towers St, Torrance CA 90503,33.85570768,-118.3706326,0,1029656,1081139,978173,"798,600",649354,2017,1956,7212,1796,5,2
15,21326963,23003 Doris Way, Torrance CA 90505,33.81937802,-118.3743652,0,1321069,1387122,1255016,"869,800",927345,2017,1947,11440,2047,4,2
16,21266078,1302 W 223rd St, Torrance CA 90501,33.824234,-118.2996501,0,672245,705857,638633,"459,700",430420,2017,1979,3484,2364,4,2
17,21336966,24245 Ward St, Torrance CA 90505,33.8024127,-118.3489934,0,972609,1021239,923979,"790,000",284911,2017,1920,5981,2000,4,2
18,21327390,5321 Jacques St, Torrance CA 90503,33.83093456,-118.3703465,0,1240347,1302364,1178330,"809,400",233708,2017,1955,8595,2366,3,3
19,21274773,1625 Maple Ave, Torrance CA 90503,33.83190228,-118.3401376,0,873059,916712,829406,"745,900",751000,2017,1955,5952,1558,5,2
20,21278045,2460 229th Pl, Torrance CA 90505,33.81780507,-118.3278419,0,867677,911061,824293,"741,900",750000,2017,1963,5821,1775,4,3
21,20373793,3462 W 170th St, Torrance CA 90504,33.87674637,-118.3328395,0,658930,691876,625984,"630,700",298597,2017,1974,116183,1542,3,3
22,20369587,4033 184th St, Torrance CA 90504,33.86435118,-118.3454364,0,762793,800933,724653,"630,700",642702,2017,1954,5357,1524,4,2
23,21267215,21122 Harvard Blvd, Torrance CA 90501,33.83723269,-118.3064093,0,559206,587166,531246,"459,700",515000,2017,1949,8491,1313,3,2
24,20373364,17801 Glenburn Ave, Torrance CA 90504,33.8693551,-118.3305988,0,710238,745750,674726,"630,700",359565,2017,1955,5300,1249,3,2
25,21330789,19417 Anza Ave, Torrance CA 90503,33.85395138,-118.3641978,0,797979,837878,758080,"798,600",337061,2017,1954,5405,1112,3,1
26,21268629,1551 W 206th St, Torrance CA 90501,33.84413195,-118.3059075,0,562395,590515,528651,"459,700",381971,2017,1949,7013,1419,3,2
27,21327693,5028 Lee St, Torrance CA 90503,33.83583967,-118.3666407,0,1016519,1067345,965693,"809,400",110872,2017,1956,6760,2075,3,2
28,21332168,20357 Madison St, Torrance CA 90503,33.84700059,-118.3488261,0,905076,950330,859822,"869,600",772731,2017,1964,6002,2108,4,2
29,21267210,21146 Harvard Blvd, Torrance CA 90501,33.83708214,-118.3059969,0,674316,708032,640600,"459,700",332782,2017,1953,8491,2404,5,2
30,21265724,1349 W 221st St, Torrance CA 90501,33.82692114,-118.3013462,0,515391,541161,489621,"459,700",251864,2017,1931,6500,754,2,1
31,21330797,5013 Deelane St, Torrance CA 90503,33.85252695,-118.3633305,0,956409,1004229,908589,"798,600",379003,2017,1955,5701,1792,3,2
32,21344235,3399 Candlewood Rd, Torrance CA 90505,33.79560628,-118.3477967,0,1021805,1072895,970715,"934,100",478412,2017,1975,5716,2050,4,3
33,20376581,18114 Manhattan Pl, Torrance CA 90504,33.86596903,-118.3101534,0,656241,689053,623429,"613,300",441464,2017,1981,5812,1918,3,3
