,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms,rentzestimate,valuechange
0,20825166,1010 Omer Ln, Burbank CA 91502,34.16772625,-118.3059723,0,862895,906040,819750,"704,400",378788,2017,1944,6592,1612,4,2,2500,23936
1,20065948,2601 W Oak St, Burbank CA 91505,34.16142844,-118.3311956,0,1064774,1118013,1011535,"704,400",560430,2017,1977,6267,2161,4,2,3900,40688
2,20054209,907 E Orange Grove Ave, Burbank CA 91501,34.19017175,-118.3011539,0,816428,857249,775607,"704,400",137700,2017,1938,7453,1006,3,1,2800,18408
3,20049263,214 S Lincoln St, Burbank CA 91506,34.16194739,-118.3272509,0,758370,796288,720452,"704,400",685000,2017,1949,7048,1156,2,2,2950,-2574
4,20060944,1600 Tulare Ave, Burbank CA 91504,34.2027229,-118.3280883,0,820865,861908,779822,"704,400",211628,2017,1949,8578,1431,2,1,3100,-786
5,20047601,1516 N Lima St, Burbank CA 91505,34.17801096,-118.3468557,0,703321,738487,668155,"704,400",581981,2017,1940,6882,1200,2,1,3200,22662
6,20057251,2230 N Buena Vista St, Burbank CA 91504,34.1972051,-118.3377427,0,654221,686932,621510,"704,400",46412,2017,1949,6379,924,3,1,2700,13237
7,20055246,532 Birmingham Rd, Burbank CA 91504,34.19660393,-118.3197134,0,868592,912022,825162,"704,400",354264,2017,1951,7262,1332,3,2,3200,9215
8,20822902,520 E Elmwood Ave, Burbank CA 91501,34.17978178,-118.2972139,0,676454,710277,642631,"704,400",254891,2017,1982,23395,1743,2,3,3200,10864
9,20060170,3425 Brace Canyon Rd, Burbank CA 91504,34.21753685,-118.3219442,0,1241727,1365900,1154806,"704,400",675386,2017,1979,10003,2519,3,3,4500,-10305
10,20060426,3421 Haven Way, Burbank CA 91504,34.21071341,-118.3215364,0,1394567,1492187,1324839,"704,400",849643,2017,1987,13677,2968,4,2.5,5500,17909
11,20051217,1009 N Brighton St, Burbank CA 91506,34.17755942,-118.336548,0,825771,867060,784482,"704,400",100728,2017,1929,7198,1565,3,2,3150,11623
12,20054592,1018 E Verdugo Ave, Burbank CA 91501,34.18828938,-118.2951404,0,825010,866260,783760,"704,400",163842,2017,1924,7622,1128,3,1,2800,5448
13,20033995,9437 Via Monique, Burbank CA 91504,34.2142758,-118.3380654,0,523220,549381,497059,"457,800",212667,2017,1978,195306,1244,2,3,3000,9013
14,20059331,925 Uclan Dr, Burbank CA 91504,34.20012784,-118.3139881,0,1320012,1386013,1254011,"704,400",620006,2017,1951,7380,3464,4,3,4500,10866
15,20058053,1801 N Kenneth Rd, Burbank CA 91504,34.19991772,-118.3183278,0,809373,849842,768904,"704,400",467964,2017,1951,6207,1349,3,1,3200,4367
16,20059627,849 Stephen Rd, Burbank CA 91504,34.20490133,-118.321313,0,1359750,1441335,1291763,"704,400",655939,2017,1954,12918,3106,4,3,5000,16481
17,20054059,807 E Magnolia Blvd, Burbank CA 91501,34.19041154,-118.3044806,0,1500091,1605097,1410086,"704,400",1214679,2017,1990,7548,3510,5,4,6500,43410
18,20064293,3100 W Clark Ave, Burbank CA 91505,34.1660792,-118.3391584,0,886086,930390,841782,"704,400",483405,2017,1944,8186,1598,3,3,3300,-1600
19,20055053,737 Tufts Ave, Burbank CA 91504,34.19774337,-118.31565,0,896872,941716,852028,"704,400",610227,2017,1951,6934,1515,3,2,3595,11211
20,20051476,910 N Orchard Dr, Burbank CA 91506,34.18028372,-118.3308273,0,899636,944618,854654,"704,400",421617,2017,1939,5623,1670,4,3,3475,14633
21,20060255,2911 Joaquin Dr, Burbank CA 91504,34.21006714,-118.3260654,0,1033467,1085140,981794,"704,400",1159820,2017,1971,7564,2119,4,2.75,3800,-1941
22,20058740,1021 N Sunset Canyon Dr, Burbank CA 91504,34.19918337,-118.3061758,0,1698486,1783410,1596577,"704,400",1032448,2017,1958,10018,3644,4,5,5815,123471
23,20056484,2120 N Screenland Dr, Burbank CA 91505,34.18749453,-118.3510825,0,633986,665685,602287,"704,400",398137,2017,1941,6751,918,2,1,2900,11423
24,20049151,201 S Orchard Dr, Burbank CA 91506,34.16574556,-118.3237469,0,1041749,1104254,989662,"704,400",504085,2017,1947,9449,2103,2,2,3800,28273
25,20049707,341 S Virginia Ave, Burbank CA 91506,34.16630972,-118.3168933,0,878450,922372,834528,"704,400",501798,2017,1944,7463,1597,4,2,3495,9019
26,20059572,837 Stanford Rd, Burbank CA 91504,34.20350595,-118.3202892,0,937694,984579,890809,"704,400",91156,2017,1954,8962,1588,3,2,3500,3432
27,20059084,936 Delaware Rd, Burbank CA 91504,34.19666592,-118.3089152,0,956943,1004790,909096,"704,400",131576,2017,1952,7429,1671,4,2,3500,10880
28,20052423,252 W Tujunga Ave, Burbank CA 91502,34.17258989,-118.3137461,0,952454,1000077,904831,"704,400",350542,2017,1925,7749,1912,3,2,2500,-15727
29,20065394,347 N Fairview St, Burbank CA 91505,34.16104628,-118.3369851,0,1102554,1157682,1047426,"704,400",887243,2017,1926,6098,2272,4,3,3823,21824
30,60325224,1899 Thurber Pl, Burbank CA 91501,34.19386414,-118.2821878,0,1027861,1079254,976468,"704,400",804440,2017,1967,7824,1832,3,3,3900,11542
31,95609509,1209 E Elmwood Ave, Burbank CA 91501,34.19393631,-118.2871041,0,4278122,4577591,3935872,"704,400",1695427,2017,2008,313020,7288,5,5,15626,29477
32,20057080,2333 N Catalina St, Burbank CA 91504,34.19497715,-118.3415226,0,790554,830082,751026,"704,400",110538,2017,1939,6861,1801,3,2,3200,-9704
33,20065838,230 N California St, Burbank CA 91505,34.15701618,-118.3365026,0,860689,903723,817655,"704,400",77651,2017,1948,6730,1445,3,2,3200,6921
34,20060636,2621 N Myers St, Burbank CA 91504,34.20415388,-118.3348075,0,739687,776671,702703,"704,400",590265,2017,1948,6098,1226,3,1,3150,7437
