,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,rentzestimate,valuation_high,valuation_low,valuechange,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms,Housing Growth,City
0,20825166,1010 Omer Ln, Burbank CA 91502,34.16772625,-118.3059723,0,862895,2500.0,906040,819750,23936.0,"704,400",378788,2017,1944,6592,1612,4,2.0,0.33287016380903817,Burbank
1,20065948,2601 W Oak St, Burbank CA 91505,34.16142844,-118.3311956,0,1064774,3900.0,1118013,1011535,40688.0,"704,400",560430,2017,1977,6267,2161,4,2.0,0.45855364612584454,Burbank
2,20054209,907 E Orange Grove Ave, Burbank CA 91501,34.19017175,-118.30115390000002,0,816428,2800.0,857249,775607,18408.0,"704,400",137700,2017,1938,7453,1006,3,1.0,0.2705639688986659,Burbank
3,20049263,214 S Lincoln St, Burbank CA 91506,34.16194739,-118.32725090000001,0,758370,2950.0,796288,720452,-2574.0,"704,400",685000,2017,1949,7048,1156,2,2.0,-0.04072945923493809,Burbank
4,20060944,1600 Tulare Ave, Burbank CA 91504,34.2027229,-118.32808829999999,0,820865,3100.0,861908,779822,-786.0,"704,400",211628,2017,1949,8578,1431,2,1.0,-0.011490318140010843,Burbank
5,20047601,1516 N Lima St, Burbank CA 91505,34.17801096,-118.3468557,0,703321,3200.0,738487,668155,22662.0,"704,400",581981,2017,1940,6882,1200,2,1.0,0.38665701720835866,Burbank
6,20057251,2230 N Buena Vista St, Burbank CA 91504,34.197205100000005,-118.33774270000002,0,654221,2700.0,686932,621510,13237.0,"704,400",46412,2017,1949,6379,924,3,1.0,0.24279868729374324,Burbank
7,20055246,532 Birmingham Rd, Burbank CA 91504,34.19660393,-118.31971340000001,0,868592,3200.0,912022,825162,9215.0,"704,400",354264,2017,1951,7262,1332,3,2.0,0.12730948477536058,Burbank
8,20822902,520 E Elmwood Ave, Burbank CA 91501,34.17978178,-118.2972139,0,676454,3200.0,710277,642631,10864.0,"704,400",254891,2017,1982,23395,1743,2,3.0,0.19272263893775482,Burbank
9,20060170,3425 Brace Canyon Rd, Burbank CA 91504,34.21753685,-118.3219442,0,1241727,4500.0,1365900,1154806,-10305.0,"704,400",675386,2017,1979,10003,2519,3,3.0,-0.09958710731102731,Burbank
10,20060426,3421 Haven Way, Burbank CA 91504,34.21071341,-118.3215364,0,1394567,5500.0,1492187,1324839,17909.0,"704,400",849643,2017,1987,13677,2968,4,2.5,0.1541037468977826,Burbank
11,20051217,1009 N Brighton St, Burbank CA 91506,34.17755942,-118.336548,0,825771,3150.0,867060,784482,11623.0,"704,400",100728,2017,1929,7198,1565,3,2.0,0.16890396974463864,Burbank
12,20054592,1018 E Verdugo Ave, Burbank CA 91501,34.18828938,-118.29514040000001,0,825010,2800.0,866260,783760,5448.0,"704,400",163842,2017,1924,7622,1128,3,1.0,0.07924267584635337,Burbank
13,20033995,9437 Via Monique, Burbank CA 91504,34.214275799999996,-118.3380654,0,523220,3000.0,549381,497059,9013.0,"457,800",212667,2017,1978,195306,1244,2,3.0,0.20671228164061006,Burbank
14,20059331,925 Uclan Dr, Burbank CA 91504,34.20012784,-118.3139881,0,1320012,4500.0,1386013,1254011,10866.0,"704,400",620006,2017,1951,7380,3464,4,3.0,0.09878092017345297,Burbank
