,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms
0,65246195,W 7th St, Palmdale CA 93551,34.5819133673,-118.142405988,0,360431,378453,342409,"252,000",289000.0,2017,2004,6275,2759,4,3.0
1,20244263,Country Club Dr, Palmdale CA 93551,34.6014874969,-118.134917187,0,313321,328987,297655,"252,000",269504.0,2017,1965,8925,1674,3,2.0
2,95677143,36800 Sierra Hwy, Palmdale CA 93550,34.5499207883,-118.107273725,0,,,,"252,000",78515.0,2017,,2716236,,,
3,20249421,1750 E Ave Q14, Palmdale CA 93550,34.5738607787,-118.096411638,0,144697,153379,134568,"252,000",45884.0,2017,1989,1306,832,3,2.0
4,95598445,Division St, Palmdale CA 93551,34.6075695879,-118.128241571,0,,,,"252,000",63250.0,2017,,39997,,,
5,20271504,143 W Ave S-14, Palmdale CA 93551,34.5445371621,-118.129523691,0,716538,773861,680711,"252,000",535715.0,2017,1992,98010,5622,6,6.0
6,20242766,820 W Avenue P, Palmdale CA 93551,34.6016156142,-118.146649092,0,477938,501835,454041,"252,000",313674.0,2017,1981,41250,2366,4,3.0
7,20250472,2634 E Ave Q-15, Palmdale CA 93550,34.5730934344,-118.08251205,0,301701,316786,286616,"252,000",143823.0,2017,1989,7125,2000,4,3.0
8,20239363,38969 Yucca Tree St, Palmdale CA 93551,34.5909989734,-118.150435826,0,278073,291977,264169,"252,000",141814.0,2017,1953,10890,1476,3,2.0
9,20242991,450 W Ave O, Palmdale CA 93551,34.6175173476,-118.131649599,0,362255,380368,344142,"252,000",307400.0,2017,1987,8030,2309,5,3.0
10,79796905,37217 Weeping Branch St, Palmdale CA 93550,34.5586661058,-118.108981502,0,393096,412751,373441,"252,000",399500.0,2017,2007,12335,3109,5,4.0
11,20246779,37457 Conifer Dr, Palmdale CA 93550,34.5637690875,-118.119241152,0,244572,256801,227452,"252,000",223000.0,2017,1988,6645,1229,3,2.0
12,95659485,502 Lago Lindo Rd, Palmdale CA 93550,34.5454148309,-118.118831199,0,,,,"252,000",85000.0,2017,,40046,,,
13,20255224,39261 10th St E, Palmdale CA 93550,34.5963277107,-118.114073742,0,340144,363954,319735,"252,000",206129.0,2017,1954,49044,2425,3,2.0
14,89149373,1656 Korat Dr, Palmdale CA 93551,34.5781635998,-118.16128892,0,322891,339036,306746,"252,000",258777.0,2017,2008,26151,1541,3,2.0
