Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,employment_employed,Labor_force,employment_unemployed,Employment Rate,Unemployment Rate,Median_male_age,Median_female_age,Walkable_time_min,Education_none,Male_population,Female_population,Students_population,Population_from_5_17,Population_18_over,Gini_index,City
90001,57942.0,28.0,34323.0,11294.0,18902.0,32.62227744986366,22609.0,25774.0,3165.0,87.72018313028633,12.279816869713665,27.6,28.4,9400.0,2178.0,29520.0,28422.0,54813.0,2420.0,8061.0,0.4224,Los Angeles
90002,51826.0,27.5,32520.0,11212.0,18302.0,35.31432099718288,18372.0,21217.0,2845.0,86.59094122637508,13.409058773624924,26.7,28.2,3770.0,1586.0,24877.0,26949.0,49143.0,2203.0,5487.0,0.4418,Los Angeles
90003,70208.0,28.0,31878.0,10611.0,24556.0,34.9760711030082,25630.0,29808.0,4178.0,85.98362855609233,14.016371443907676,27.1,28.7,10340.0,2326.0,33953.0,36255.0,66480.0,3135.0,8732.0,0.4244,Los Angeles
90004,63095.0,35.5,43180.0,29194.0,12919.0,20.4754734923528,33238.0,36455.0,3217.0,91.17542175284598,8.824578247154026,34.8,36.4,,1838.0,31141.0,31954.0,60803.0,2143.0,11867.0,0.5609,Los Angeles
90005,39338.0,33.9,31485.0,20265.0,11520.0,29.284661141898418,20845.0,23169.0,2324.0,89.96935560447149,10.030644395528508,32.8,35.4,14100.0,1113.0,19592.0,19746.0,37668.0,1845.0,12950.0,0.4879,Los Angeles
90006,61230.0,33.6,31993.0,14306.0,17456.0,28.508900865588764,30241.0,34231.0,3983.0,88.3438988051766,11.63565189448161,33.1,34.3,23070.0,2576.0,30807.0,30423.0,58593.0,3680.0,19444.0,0.4018,Los Angeles
90007,41979.0,24.3,22485.0,11658.0,17605.0,41.93763548440887,16503.0,18978.0,2475.0,86.95858362314259,13.041416376857415,24.0,24.6,32320.0,1164.0,20802.0,21177.0,41032.0,1153.0,5789.0,0.5332,Los Angeles
90008,32060.0,43.7,36134.0,28316.0,6769.0,21.11353711790393,14358.0,16137.0,1779.0,88.97564603086076,11.024353969139245,39.8,46.1,1460.0,261.0,14038.0,18022.0,30989.0,393.0,1802.0,0.5216,Los Angeles
90010,3524.0,38.8,47569.0,37831.0,581.0,16.48694665153235,2126.0,2321.0,195.0,91.59844894442051,8.40155105557949,39.0,37.9,,43.0,1773.0,1751.0,3505.0,0.0,1037.0,0.4786,Los Angeles
90011,104762.0,28.2,31684.0,10103.0,40661.0,38.81273744296596,42428.0,46455.0,4022.0,91.33139597459908,8.657840921321709,28.4,27.9,36725.0,4078.0,52020.0,52742.0,99562.0,4790.0,14415.0,0.4215,Los Angeles
90012,32543.0,35.8,32712.0,21989.0,7755.0,23.830009525858095,11653.0,12487.0,834.0,93.3210538960519,6.678946103948106,34.7,38.9,15795.0,1360.0,19922.0,12621.0,32073.0,809.0,6858.0,0.5361,Los Angeles
90013,11668.0,43.7,22058.0,33518.0,5229.0,44.8148782996229,5107.0,5954.0,847.0,85.77426939872355,14.225730601276453,45.4,40.7,11540.0,166.0,7315.0,4353.0,11452.0,0.0,1141.0,0.6341,Los Angeles
90014,7191.0,41.3,23580.0,39272.0,2809.0,39.06271728549576,3799.0,4259.0,460.0,89.19934256867809,10.800657431321907,41.9,40.7,,85.0,4447.0,2744.0,7124.0,24.0,878.0,0.604,Los Angeles
90015,19378.0,32.8,30463.0,28731.0,7366.0,38.0121787594179,9571.0,10535.0,964.0,90.84954912197438,9.150450878025628,33.5,32.4,,591.0,9720.0,9658.0,18703.0,817.0,3969.0,0.619,Los Angeles
90016,47079.0,36.1,41140.0,21578.0,10438.0,22.171244079101086,22673.0,25041.0,2364.0,90.54350864582085,9.440517551216006,33.4,39.2,4935.0,1247.0,22515.0,24564.0,45724.0,887.0,3633.0,0.4667,Los Angeles
90017,25772.0,30.9,25143.0,20413.0,11732.0,45.52227223343163,12537.0,13497.0,945.0,92.88730829073127,7.001555901311402,31.2,30.5,,1094.0,13865.0,11907.0,24798.0,1495.0,7657.0,0.5772,Los Angeles
90018,51639.0,34.8,35696.0,17937.0,13485.0,26.113983617033636,22515.0,25481.0,2966.0,88.359954475884,11.640045524116008,32.6,36.7,6965.0,1495.0,24769.0,26870.0,49797.0,1196.0,5606.0,0.4845,Los Angeles
90019,68530.0,37.6,47518.0,28915.0,14117.0,20.599737341310377,35904.0,39337.0,3433.0,91.27284744642449,8.727152553575515,36.9,38.3,,1459.0,33741.0,34789.0,65985.0,1786.0,9479.0,0.5282,Los Angeles
90020,40170.0,34.2,40353.0,27106.0,7826.0,19.48220064724919,22315.0,24114.0,1799.0,92.5396035498051,7.460396450194907,33.4,35.4,,569.0,19672.0,20498.0,38902.0,1545.0,10206.0,0.5143,Los Angeles
90021,2954.0,43.7,12370.0,23213.0,1459.0,49.3906567366283,1274.0,1500.0,226.0,84.93333333333334,15.066666666666666,44.3,41.7,,108.0,1962.0,992.0,2910.0,148.0,641.0,0.685,Los Angeles
90022,67191.0,31.9,40650.0,14423.0,15659.0,23.30520456608772,27749.0,32147.0,4398.0,86.31909664976514,13.680903350234859,30.4,33.0,,2331.0,32482.0,34709.0,64592.0,2739.0,8556.0,0.4178,Los Angeles
90023,46611.0,30.6,37472.0,12875.0,13071.0,28.042736693055286,19622.0,21899.0,2277.0,89.60226494360474,10.39773505639527,30.5,30.7,,1631.0,23348.0,23263.0,44417.0,1775.0,7348.0,0.42,Los Angeles
90024,49737.0,23.0,57210.0,43727.0,12553.0,25.238755855801514,21416.0,23772.0,2356.0,90.0891805485445,9.910819451455493,24.4,22.3,87800.0,59.0,23337.0,26400.0,49198.0,167.0,2173.0,0.6224,Los Angeles
90025,46520.0,34.1,72653.0,49219.0,5871.0,12.620378331900257,29300.0,31197.0,1897.0,93.91928711094016,6.080712889059845,33.2,35.1,,371.0,23487.0,23033.0,45019.0,450.0,3254.0,0.4711,Los Angeles
90026,67557.0,34.5,51568.0,30685.0,15000.0,22.203472623118255,36214.0,39992.0,3778.0,90.55311062212442,9.446889377875575,34.1,34.9,15565.0,1562.0,34197.0,33360.0,65540.0,1473.0,7992.0,0.5028,Los Angeles
90027,46043.0,38.2,52922.0,41744.0,7539.0,16.373824468431682,26401.0,29257.0,2848.0,90.23823358512493,9.734422531360016,37.7,39.1,13590.0,981.0,22574.0,23469.0,44675.0,715.0,7285.0,0.5437,Los Angeles
90028,31122.0,34.1,35729.0,28361.0,8369.0,26.890945311997942,19017.0,21345.0,2328.0,89.09346451159522,10.906535488404778,34.1,33.9,26445.0,625.0,17415.0,13707.0,30577.0,613.0,5430.0,0.4975,Los Angeles
90029,40242.0,35.4,35132.0,19918.0,11062.0,27.488693404900353,21057.0,23447.0,2390.0,89.80679831108458,10.193201688915426,34.4,36.5,13590.0,1417.0,20548.0,19694.0,38734.0,1536.0,8731.0,0.454,Los Angeles
90031,38940.0,35.6,36801.0,17069.0,10800.0,27.73497688751926,17305.0,19203.0,1898.0,90.11612768838202,9.883872311617976,33.4,38.3,8125.0,2306.0,19477.0,19463.0,37571.0,916.0,5914.0,0.4659,Los Angeles
90032,47285.0,33.7,45218.0,18613.0,10833.0,22.910013746431215,21351.0,24434.0,3083.0,87.38233608905624,12.617663910943767,33.0,34.6,9655.0,1521.0,23061.0,24224.0,45509.0,643.0,4559.0,0.4399,Los Angeles
90033,49156.0,29.5,29499.0,12212.0,18025.0,36.66897225160713,18578.0,20556.0,1978.0,90.37750535123565,9.62249464876435,28.5,30.5,,1940.0,24168.0,24988.0,46849.0,2206.0,7350.0,0.4432,Los Angeles
90034,57443.0,33.4,60965.0,39185.0,8524.0,14.839057848649967,34544.0,36886.0,2325.0,93.65070758553381,6.303204467819769,33.1,33.7,7745.0,690.0,29239.0,28204.0,55625.0,382.0,2373.0,0.4775,Los Angeles
90035,30582.0,36.4,74667.0,50335.0,3449.0,11.277875874697534,16732.0,17864.0,1132.0,93.66323331840573,6.336766681594268,36.1,37.0,,485.0,14337.0,16245.0,29232.0,192.0,1730.0,0.5128,Los Angeles
90036,37931.0,34.3,71917.0,52023.0,5072.0,13.371648519680473,23155.0,24730.0,1575.0,93.63121714516781,6.368782854832188,35.0,33.6,,173.0,17751.0,20180.0,36742.0,266.0,2259.0,0.4973,Los Angeles
90037,61451.0,29.7,27129.0,11330.0,24624.0,40.07095083887976,23741.0,26749.0,3002.0,88.75471980260944,11.222849452315975,28.7,30.4,7230.0,2172.0,30331.0,31120.0,58008.0,2510.0,8885.0,0.4564,Los Angeles
90038,28155.0,32.2,35739.0,23709.0,8524.0,30.275261942816552,16162.0,17889.0,1727.0,90.34602269551121,9.653977304488793,32.5,31.9,,819.0,14811.0,13344.0,27212.0,1521.0,6313.0,0.5034,Los Angeles
90039,28436.0,39.3,77361.0,44638.0,2636.0,9.269939513293009,16089.0,17337.0,1248.0,92.80152275480187,7.198477245198132,39.0,39.8,,584.0,14073.0,14363.0,27849.0,432.0,1756.0,0.4857,Los Angeles
90040,12812.0,34.0,41897.0,15633.0,2204.0,17.202622541367468,5189.0,5784.0,573.0,89.71300138312587,9.906639004149378,33.8,34.1,385.0,501.0,6338.0,6474.0,12404.0,349.0,1183.0,0.4124,Los Angeles
90041,28405.0,39.7,68457.0,33467.0,3018.0,10.624889984157718,14363.0,15609.0,1234.0,92.01742584406432,7.905695432122493,37.7,41.9,6115.0,358.0,13644.0,14761.0,27486.0,150.0,1400.0,0.4639,Los Angeles
90042,63109.0,34.7,51444.0,23314.0,13124.0,20.795766055554676,31168.0,34587.0,3397.0,90.11478301095788,9.821609275161189,33.8,35.6,6735.0,1526.0,30523.0,32586.0,60579.0,1295.0,5515.0,0.4477,Los Angeles
90043,44328.0,40.0,41449.0,26687.0,8983.0,20.264843890994406,19097.0,22373.0,3266.0,85.3573503776874,14.597952889643768,36.6,42.9,,704.0,20632.0,23696.0,42638.0,234.0,1169.0,0.5189,Los Angeles
90044,90155.0,30.7,30288.0,13515.0,32168.0,35.68077200377128,34046.0,38571.0,4525.0,88.26838816727593,11.731611832724067,28.7,32.5,,2667.0,42399.0,47756.0,85477.0,2797.0,9480.0,0.4711,Los Angeles
90045,41145.0,34.7,81058.0,44571.0,4180.0,10.159193097581722,21994.0,23762.0,1768.0,92.55954885952362,7.440451140476391,34.0,36.2,12745.0,130.0,19800.0,21345.0,40190.0,108.0,1066.0,0.4774,Los Angeles
90046,50923.0,39.2,61157.0,61916.0,7274.0,14.284311607721461,33906.0,36776.0,2846.0,92.19599738960191,7.738742658255384,39.7,37.7,17585.0,311.0,27476.0,23447.0,50292.0,65.0,4190.0,0.5643,Los Angeles
90047,48306.0,39.0,40913.0,20815.0,10238.0,21.194054568790627,19584.0,22934.0,3350.0,85.39286648643935,14.607133513560653,34.6,40.9,,583.0,21166.0,27140.0,46477.0,382.0,1732.0,0.4671,Los Angeles
90048,22722.0,36.5,83672.0,67985.0,2021.0,8.894463515535604,14584.0,15663.0,1079.0,93.11115367426419,6.888846325735811,36.9,35.9,,71.0,10540.0,12182.0,21708.0,18.0,1088.0,0.5033,Los Angeles
90049,35581.0,41.2,117007.0,96078.0,2365.0,6.646805879542453,19220.0,20468.0,1194.0,93.90267735000977,5.833496189173344,42.1,40.6,9440.0,144.0,16076.0,19505.0,34288.0,96.0,772.0,0.5587,Los Angeles
90056,8118.0,50.1,74959.0,47886.0,483.0,5.9497413155949745,3623.0,4152.0,529.0,87.25915221579962,12.740847784200385,46.1,53.2,,17.0,3619.0,4499.0,7932.0,0.0,96.0,0.4879,Los Angeles
90057,48302.0,33.3,29332.0,14399.0,17039.0,35.2759720094406,23974.0,26585.0,2611.0,90.17867218356216,9.82132781643784,32.0,34.6,17290.0,2460.0,26132.0,22170.0,46555.0,2835.0,15624.0,0.4375,Los Angeles
90058,2674.0,23.5,15224.0,8260.0,1895.0,70.86761406133134,701.0,846.0,145.0,82.86052009456264,17.13947990543735,19.9,27.4,,152.0,1227.0,1447.0,2496.0,139.0,381.0,0.5504,Los Angeles
90059,46027.0,26.3,35061.0,11822.0,16688.0,36.25697959893106,15918.0,18992.0,3068.0,83.81423757371525,16.154170176916598,24.8,28.0,,940.0,22652.0,23375.0,43218.0,1450.0,3120.0,0.4644,Los Angeles
90061,27203.0,29.1,36094.0,13927.0,8926.0,32.812557438517814,10233.0,11667.0,1434.0,87.70892260221136,12.291077397788635,28.7,29.6,,652.0,12497.0,14706.0,25789.0,634.0,2309.0,0.4596,Los Angeles
90062,33690.0,34.3,37293.0,15316.0,8836.0,26.22736717126744,13986.0,15626.0,1640.0,89.50467170101113,10.495328298988865,32.2,35.9,,1279.0,16025.0,17665.0,32065.0,1109.0,3658.0,0.4704,Los Angeles
90063,54142.0,31.2,41267.0,14703.0,13729.0,25.357393520741752,22519.0,25882.0,3363.0,87.00641372382351,12.993586276176494,30.4,32.1,10555.0,1757.0,27041.0,27101.0,52005.0,1873.0,7031.0,0.4335,Los Angeles
90064,27032.0,38.3,92626.0,59338.0,2263.0,8.371559633027523,14053.0,14640.0,587.0,95.99043715846994,4.009562841530054,36.5,40.6,,98.0,12942.0,14090.0,25964.0,27.0,1058.0,0.5282,Los Angeles
90065,46965.0,37.0,54796.0,27209.0,9086.0,19.34632172894709,23008.0,25236.0,2228.0,91.17134252654937,8.828657473450626,35.7,38.6,,1235.0,23756.0,23209.0,45260.0,807.0,4565.0,0.4965,Los Angeles
90066,59258.0,37.5,72004.0,42388.0,6448.0,10.881231226163555,33395.0,35924.0,2529.0,92.96013806925733,7.039861930742679,37.0,37.9,,656.0,29855.0,29403.0,57062.0,565.0,4054.0,0.4651,Los Angeles
90067,2355.0,65.8,120208.0,152254.0,176.0,7.473460721868365,820.0,863.0,43.0,95.01738122827346,4.9826187717265356,65.1,66.9,,16.0,1207.0,1148.0,2350.0,0.0,227.0,0.5958,Los Angeles
90068,21450.0,39.7,76485.0,75182.0,2490.0,11.608391608391608,13508.0,15070.0,1562.0,89.63503649635037,10.364963503649635,39.0,40.4,4255.0,106.0,11701.0,9749.0,20864.0,43.0,832.0,0.5534,Los Angeles
90069,20435.0,41.6,82237.0,79600.0,2067.0,10.11499877660876,14554.0,15637.0,1083.0,93.07411907654921,6.92588092345079,42.0,40.7,6675.0,57.0,12613.0,7822.0,20215.0,36.0,834.0,0.5425,Los Angeles
90071,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,0.0,0.0,,,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,Los Angeles
90073,915.0,54.3,-666666666.0,11281.0,439.0,47.978142076502735,82.0,128.0,40.0,64.0625,31.25,54.7,45.7,,28.0,839.0,76.0,915.0,0.0,0.0,-666666666.0,Los Angeles
90077,8912.0,47.9,178194.0,100874.0,311.0,3.4896768402154397,4062.0,4276.0,203.0,94.9953227315248,4.747427502338634,47.5,49.1,210.0,90.0,4324.0,4588.0,8704.0,35.0,124.0,0.5064,Los Angeles
90079,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,0.0,0.0,,,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,Los Angeles
90089,3680.0,19.1,-666666666.0,7110.0,13.0,0.3532608695652174,687.0,996.0,309.0,68.97590361445783,31.02409638554217,19.2,19.1,,0.0,1729.0,1951.0,3680.0,0.0,0.0,0.1945,Los Angeles
90090,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,0.0,0.0,,,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,Los Angeles
