CITY,SCHOOL_RAW,SCHOOL,CSR
Alhambra,Alhambra High CSR rank: 8,Alhambra High ,8
Alhambra,Century High CSR rank: 3,Century High ,3
Alhambra,Emery Park Elementary CSR rank: 7,Emery Park Elementary ,7
Alhambra,Fremont Elementary CSR rank: 5,Fremont Elementary ,5
Alhambra,Garfield Elementary CSR rank: 8,Garfield Elementary ,8
Alhambra,Granada Elementary CSR rank: 5,Granada Elementary ,5
Alhambra,Alternative Independence High CSR rank: 3,Alternative Independence High ,3
Alhambra,Marguerita Elementary CSR rank: 7,Marguerita Elementary ,7
Alhambra,Mark Keppel High CSR rank: 10,Mark Keppel High ,10
Alhambra,Martha Baldwin Elementary CSR rank: 9,Martha Baldwin Elementary ,9
Alhambra,Park Elementary CSR rank: 8,Park Elementary ,8
Alhambra,Ramona Elementary CSR rank: 8,Ramona Elementary ,8
Alhambra,William Northrup Elementary CSR rank: 7,William Northrup Elementary ,7
Burbank,Bret Harte Elementary CSR rank: 7,Bret Harte Elementary ,7
Burbank,Burbank High CSR rank: 8,Burbank High ,8
Burbank,Burroughs High CSR rank: 9,Burroughs High ,9
Burbank,David Starr Jordan Middle CSR rank: 7,David Starr Jordan Middle ,7
Burbank,George Washington Elementary CSR rank: 8,George Washington Elementary ,8
Burbank,Joaquin Miller Elementary CSR rank: 9,Joaquin Miller Elementary ,9
Burbank,John Muir Middle CSR rank: 8,John Muir Middle ,8
Burbank,Luther Burbank Middle CSR rank: 7,Luther Burbank Middle ,7
Burbank,Continuation Monterey High CSR rank: 2,Continuation Monterey High ,2
Burbank,Options for Youth-Burbank Charter CSR rank: 4,Options for Youth-Burbank Charter ,4
Burbank,Providencia Elementary CSR rank: 7,Providencia Elementary ,7
Burbank,R. L. Stevenson Elementary CSR rank: 9,R. L. Stevenson Elementary ,9
Burbank,Ralph Emerson Elementary CSR rank: 8,Ralph Emerson Elementary ,8
Burbank,Theodore Roosevelt Elementary CSR rank: 9,Theodore Roosevelt Elementary ,9
Burbank,Thomas Edison Elementary CSR rank: 9,Thomas Edison Elementary ,9
Burbank,Thomas Jefferson Elementary CSR rank: 9,Thomas Jefferson Elementary ,9
Burbank,Walt Disney Elementary CSR rank: 7,Walt Disney Elementary ,7
Burbank,William McKinley Elementary CSR rank: 6,William McKinley Elementary ,6
Compton,Anderson Elementary CSR rank: 7,Anderson Elementary ,7
Compton,Bunche Middle CSR rank: 1,Bunche Middle ,1
Compton,Bursch Elementary CSR rank: 4,Bursch Elementary ,4
Compton,Centennial High CSR rank: 2,Centennial High ,2
Compton,Cesar Chavez Continuation High CSR rank: 1,Cesar Chavez Continuation High ,1
Compton,"Clinton, William Jefferson CSR rank: 5","Clinton, William Jefferson ",5
Compton,Compton High CSR rank: 3,Compton High ,3
Compton,Davis Middle CSR rank: 1,Davis Middle ,1
Compton,Dickison Elementary CSR rank: 3,Dickison Elementary ,3
Compton,Dominguez High CSR rank: 3,Dominguez High ,3
Compton,Emerson Elementary CSR rank: 2,Emerson Elementary ,2
Compton,Enterprise Middle CSR rank: 3,Enterprise Middle ,3
Compton,Foster Elementary CSR rank: 3,Foster Elementary ,3
Compton,Jefferson Elementary CSR rank: 8,Jefferson Elementary ,8
Compton,Kelly Elementary CSR rank: 4,Kelly Elementary ,4
Compton,Laurel Street Elementary CSR rank: 6,Laurel Street Elementary ,6
Compton,Longfellow Elementary CSR rank: 3,Longfellow Elementary ,3
Compton,Martin Luther King Elementary CSR rank: 1,Martin Luther King Elementary ,1
Compton,Mayo Elementary CSR rank: 4,Mayo Elementary ,4
Compton,McKinley Elementary CSR rank: 2,McKinley Elementary ,2
Compton,Robert F. Kennedy Elementary CSR rank: 1,Robert F. Kennedy Elementary ,1
Compton,Ronald E. McNair Elementary CSR rank: 2,Ronald E. McNair Elementary ,2
Compton,Roosevelt Elementary CSR rank: 3,Roosevelt Elementary ,3
Compton,Roosevelt Middle CSR rank: 1,Roosevelt Middle ,1
Compton,Rosecrans Elementary CSR rank: 5,Rosecrans Elementary ,5
Compton,Tibby Elementary CSR rank: 7,Tibby Elementary ,7
Compton,Walton Middle CSR rank: 1,Walton Middle ,1
Compton,Washington Elementary CSR rank: 2,Washington Elementary ,2
Compton,Whaley Middle CSR rank: 1,Whaley Middle ,1
Compton,Willowbrook Middle CSR rank: 1,Willowbrook Middle ,1
Compton,Lifeline Education Charter CSR rank: 5,Lifeline Education Charter ,5
Downey,Alameda Elementary CSR rank: 6,Alameda Elementary ,6
Downey,Alternative Opportunity Programs CSR rank: 2,Alternative Opportunity Programs ,2
Downey,Carpenter Elementary CSR rank: 5,Carpenter Elementary ,5
Downey,Columbus Continuation CSR rank: 2,Columbus Continuation ,2
Downey,Doty Middle CSR rank: 6,Doty Middle ,6
Downey,Downey High CSR rank: 8,Downey High ,8
Downey,Gallatin Elementary CSR rank: 8,Gallatin Elementary ,8
Downey,Gauldin Elementary CSR rank: 5,Gauldin Elementary ,5
Downey,Griffiths Middle CSR rank: 7,Griffiths Middle ,7
Downey,Imperial Elementary CSR rank: 7,Imperial Elementary ,7
Downey,Lewis Elementary CSR rank: 8,Lewis Elementary ,8
Downey,Old River Elementary CSR rank: 7,Old River Elementary ,7
Downey,Price Elementary CSR rank: 8,Price Elementary ,8
Downey,Rio Hondo Elementary CSR rank: 6,Rio Hondo Elementary ,6
Downey,Rio San Gabriel Elementary CSR rank: 7,Rio San Gabriel Elementary ,7
Downey,Stauffer Middle CSR rank: 6,Stauffer Middle ,6
Downey,Sussman Middle CSR rank: 5,Sussman Middle ,5
Downey,Unsworth Elementary CSR rank: 8,Unsworth Elementary ,8
Downey,Ward Elementary CSR rank: 6,Ward Elementary ,6
Downey,Warren High CSR rank: 8,Warren High ,8
Downey,Williams Elementary CSR rank: 7,Williams Elementary ,7
El Monte,Cherrylee Elementary CSR rank: 6,Cherrylee Elementary ,6
El Monte,Arroyo High CSR rank: 8,Arroyo High ,8
El Monte,El Monte High CSR rank: 6,El Monte High ,6
El Monte,Fernando R. Ledesma Continuation High CSR rank: 2,Fernando R. Ledesma Continuation High ,2
El Monte,Mountain View High CSR rank: 7,Mountain View High ,7
El Monte,Alfred S. Madrid Middle CSR rank: 3,Alfred S. Madrid Middle ,3
El Monte,Baker Elementary CSR rank: 3,Baker Elementary ,3
El Monte,Charles T. Kranz Intermediate CSR rank: 2,Charles T. Kranz Intermediate ,2
El Monte,Cogswell Elementary CSR rank: 4,Cogswell Elementary ,4
El Monte,Jerry Voorhis Elementary CSR rank: 4,Jerry Voorhis Elementary ,4
El Monte,La Primaria Elementary CSR rank: 7,La Primaria Elementary ,7
El Monte,Maxson Elementary CSR rank: 4,Maxson Elementary ,4
El Monte,Miramonte Elementary CSR rank: 1,Miramonte Elementary ,1
El Monte,Monte Vista Elementary CSR rank: 6,Monte Vista Elementary ,6
El Monte,Parkview Elementary CSR rank: 3,Parkview Elementary ,3
El Monte,Twin Lakes Elementary CSR rank: 4,Twin Lakes Elementary ,4
El Monte,Willard F. Payne Elementary CSR rank: 1,Willard F. Payne Elementary ,1
El Monte,Columbia Elementary CSR rank: 6,Columbia Elementary ,6
El Monte,Cortada Elementary CSR rank: 3,Cortada Elementary ,3
El Monte,Durfee Elementary CSR rank: 7,Durfee Elementary ,7
El Monte,Gidley Elementary CSR rank: 6,Gidley Elementary ,6
El Monte,Legore Elementary CSR rank: 6,Legore Elementary ,6
El Monte,New Lexington Elementary CSR rank: 3,New Lexington Elementary ,3
El Monte,Potrero Elementary CSR rank: 3,Potrero Elementary ,3
El Monte,Rio Vista Elementary CSR rank: 8,Rio Vista Elementary ,8
El Monte,Shirpser Elementary CSR rank: 3,Shirpser Elementary ,3
El Monte,Wilkerson Elementary CSR rank: 6,Wilkerson Elementary ,6
El Monte,Wright Elementary CSR rank: 5,Wright Elementary ,5
Glendale,Balboa Elementary CSR rank: 8,Balboa Elementary ,8
Glendale,Benjamin Franklin Elementary CSR rank: 9,Benjamin Franklin Elementary ,9
Glendale,Cerritos Elementary CSR rank: 6,Cerritos Elementary ,6
Glendale,Columbus Elementary CSR rank: 6,Columbus Elementary ,6
Glendale,Allan F. Daily High (Continuation) CSR rank: 3,Allan F. Daily High (Continuation) ,3
Glendale,Eleanor J. Toll Middle CSR rank: 8,Eleanor J. Toll Middle ,8
Glendale,Glendale High CSR rank: 7,Glendale High ,7
Glendale,Glenoaks Elementary CSR rank: 7,Glenoaks Elementary ,7
Glendale,Herbert Hoover High CSR rank: 8,Herbert Hoover High ,8
Glendale,Horace Mann Elementary CSR rank: 8,Horace Mann Elementary ,8
Glendale,John C. Fremont Elementary CSR rank: 9,John C. Fremont Elementary ,9
Glendale,John Marshall Elementary CSR rank: 6,John Marshall Elementary ,6
Glendale,John Muir Elementary CSR rank: 7,John Muir Elementary ,7
Glendale,Mark Keppel Elementary CSR rank: 9,Mark Keppel Elementary ,9
Glendale,R. D. White Elementary CSR rank: 8,R. D. White Elementary ,8
Glendale,Theodore Roosevelt Middle CSR rank: 5,Theodore Roosevelt Middle ,5
Glendale,Thomas Edison Elementary CSR rank: 7,Thomas Edison Elementary ,7
Glendale,Thomas Jefferson Elementary CSR rank: 7,Thomas Jefferson Elementary ,7
Glendale,Verdugo Woodlands Elementary CSR rank: 9,Verdugo Woodlands Elementary ,9
Glendale,Woodrow Wilson Middle CSR rank: 8,Woodrow Wilson Middle ,8
Inglewood,Albert F. Monroe Magnet Middle School CSR rank: 2,Albert F. Monroe Magnet Middle School ,2
Inglewood,Animo Leadership High CSR rank: 9,Animo Leadership High ,9
Inglewood,Century Academy for Excellence CSR rank: 1,Century Academy for Excellence ,1
Inglewood,Century Community Charter CSR rank: 6,Century Community Charter ,6
Inglewood,Environmental Charter Middle - Inglewood CSR rank: 6,Environmental Charter Middle - Inglewood ,6
Inglewood,Century Park Elementary CSR rank: 1,Century Park Elementary ,1
Inglewood,Animo Inglewood Charter High CSR rank: 9,Animo Inglewood Charter High ,9
Inglewood,Bennett/Kew Elementary CSR rank: 3,Bennett/Kew Elementary ,3
Inglewood,Beulah Payne Elementary CSR rank: 1,Beulah Payne Elementary ,1
Inglewood,Centinela Elementary CSR rank: 2,Centinela Elementary ,2
Inglewood,Children of Promise Preparatory Academy CSR rank: 1,Children of Promise Preparatory Academy ,1
Inglewood,City Honors College Preparatory Academy CSR rank: 6,City Honors College Preparatory Academy ,6
Inglewood,Claude Hudnall Elementary CSR rank: 4,Claude Hudnall Elementary ,4
Inglewood,Clyde Woodworth Elementary CSR rank: 1,Clyde Woodworth Elementary ,1
Inglewood,Frank D. Parent School CSR rank: 2,Frank D. Parent School ,2
Inglewood,George W. Crozier Middle CSR rank: 1,George W. Crozier Middle ,1
Inglewood,Grace Hopper STEM Academy CSR rank: 2,Grace Hopper STEM Academy ,2
Inglewood,Highland Elementary CSR rank: 5,Highland Elementary ,5
Inglewood,ICEF Inglewood Elementary CSR rank: 4,ICEF Inglewood Elementary ,4
Inglewood,ICEF Inglewood Middle Charter Academy CSR rank: 1,ICEF Inglewood Middle Charter Academy ,1
Inglewood,Inglewood Continuation High CSR rank: 1,Inglewood Continuation High ,1
Inglewood,Inglewood High CSR rank: 2,Inglewood High ,2
Inglewood,La Tijera K-8 Charter School Academy of Excellence CSR rank: 5,La Tijera K-8 Charter School Academy of Excellence ,5
Inglewood,Morningside High School CSR rank: 3,Morningside High School ,3
Inglewood,Oak Street Elementary CSR rank: 2,Oak Street Elementary ,2
Inglewood,Today's Fresh Start Charter School Inglewood CSR rank: 4,Today's Fresh Start Charter School Inglewood ,4
Inglewood,Warren Lane Elementary CSR rank: 1,Warren Lane Elementary ,1
Inglewood,Wilder's Preparatory Academy Charter CSR rank: 9,Wilder's Preparatory Academy Charter ,9
Inglewood,Wilder's Preparatory Academy Charter Middle CSR rank: 9,Wilder's Preparatory Academy Charter Middle ,9
Inglewood,William H. Kelso Elementary CSR rank: 2,William H. Kelso Elementary ,2
Inglewood,Worthington Elementary CSR rank: 1,Worthington Elementary ,1
Lancaster,Amargosa Creek Middle CSR rank: 5,Amargosa Creek Middle ,5
Lancaster,Antelope Valley High CSR rank: 4,Antelope Valley High ,4
Lancaster,Desert Sands Charter CSR rank: 2,Desert Sands Charter ,2
Lancaster,Desert Winds Continuation High CSR rank: 2,Desert Winds Continuation High ,2
Lancaster,Eastside High CSR rank: 4,Eastside High ,4
Lancaster,Lancaster High CSR rank: 5,Lancaster High ,5
Lancaster,Students On Academic Rise SOAR High CSR rank: 10,Students On Academic Rise SOAR High ,10
Lancaster,Columbia Elementary CSR rank: 1,Columbia Elementary ,1
Lancaster,Eastside Elementary CSR rank: 2,Eastside Elementary ,2
