UID,City,Zip,Lat,Long,Price,Crime Rate,Rent Price ,School Ranking ,Housing Growth,HOA
1,14,90334,34.1043233,-118.1247661," 56,641,219 ",89%,3754,10,18.3655%,1054
2,12,90504,34.0733263,-118.1231244," 20,020,427 ",45%,3339,9,90.2402%,852
3,7,90193,34.1100111,-118.1345876," 95,804,852 ",29%,3363,2,53.6122%,225
4,7,90090,34.1077512,-118.1447637," 35,812,244 ",77%,472,3,42.5692%,317
5,12,90155,34.0807006,-118.1381279," 93,235,765 ",96%,3905,10,68.3412%,1121
6,17,90583,34.1084614,-118.1264811," 18,784,651 ",14%,379,6,1.7177%,156
7,16,90389,34.0980441,-118.1529321," 77,475,136 ",43%,4552,4,2.1485%,543
8,10,90084,34.0923888,-118.1142213," 9,307,164 ",42%,3929,2,13.4267%,669
9,7,90349,34.0700833,-118.164215," 63,755,458 ",77%,3997,7,64.3045%,1230
10,3,90007,34.0738545,-118.1445402," 42,884,203 ",64%,4047,2,96.5738%,215
11,12,90339,34.0804987,-118.1440373," 26,249,599 ",97%,2661,1,68.5669%,253
12,19,90723,34.1091633,-118.1333028," 77,739,160 ",15%,3769,8,12.6997%,1403
13,15,90301,34.1081824,-118.1393627," 50,182,091 ",59%,2322,3,16.1752%,754
14,19,90178,34.0899054,-118.1394004," 49,378,403 ",8%,3591,1,81.7997%,746
15,5,90677,34.0763343,-118.1213541," 87,679,621 ",52%,3129,8,56.1240%,210
16,11,90159,34.0698573,-118.1321757," 29,715,377 ",38%,4693,1,5.6794%,481
17,12,90883,34.0986276,-118.1306572," 74,648,040 ",41%,898,10,42.6799%,1309
18,7,90735,34.0791887,-118.1296563," 99,692,623 ",37%,701,3,42.2376%,281
19,8,90601,34.10065,-118.1639545," 64,192,363 ",72%,3087,1,71.2369%,32
20,17,90043,34.077567,-118.1206014," 26,271,897 ",69%,4352,3,35.5750%,31
21,19,90468,34.1041533,-118.1571911," 5,075,807 ",9%,4466,9,85.7469%,1495
22,8,90233,34.0935874,-118.1250863," 2,383,366 ",82%,4880,6,17.4790%,135
23,18,90854,34.0821762,-118.1239881," 85,675,971 ",38%,785,5,21.3838%,300
24,3,90040,34.0731967,-118.1414587," 98,835,959 ",71%,1554,4,21.3238%,1108
25,17,90268,34.0691643,-118.1582289," 93,826,650 ",47%,2049,1,92.6210%,1246
26,1,90307,34.1028849,-118.1645756," 30,934,972 ",76%,1112,9,81.4985%,160
27,1,90793,34.0778206,-118.1335868," 82,809,142 ",5%,2033,6,41.2919%,1067
28,1,90480,34.1101822,-118.1249808," 15,069,221 ",72%,702,10,41.5380%,1119
29,10,90535,34.0773402,-118.1337139," 4,249,949 ",35%,3254,8,47.4303%,572
30,14,90625,34.1028342,-118.1549245," 98,032,165 ",91%,1569,2,89.9623%,791
31,20,90477,34.1037593,-118.1301532," 19,653,550 ",2%,3899,1,61.0675%,1343
32,8,90033,34.0905123,-118.1446624," 3,118,436 ",96%,2799,6,10.2242%,268
33,4,90864,34.0983167,-118.1279197," 37,162,902 ",85%,3014,7,9.1465%,1486
34,18,90333,34.0693147,-118.1346398," 13,280,936 ",41%,4959,7,94.9965%,1097
35,4,90691,34.076592,-118.1192419," 36,011,575 ",84%,1260,9,48.9249%,1372
36,3,90501,34.065552,-118.1327705," 71,380,534 ",99%,2908,10,24.9823%,1081
37,14,90244,34.0800943,-118.1521661," 2,807,145 ",60%,1807,6,89.0413%,1389
38,14,90570,34.0893132,-118.1331353," 19,139,171 ",89%,4924,8,55.2507%,724
39,7,90458,34.0881688,-118.1163058," 17,171,305 ",53%,4969,6,87.3088%,472
40,3,90446,34.0969087,-118.1237938," 27,326,432 ",37%,1527,6,56.0270%,170
41,4,90756,34.0825304,-118.1448734," 27,303,298 ",9%,928,4,11.8897%,647
42,3,90182,34.0748834,-118.1574078," 79,080,808 ",53%,3482,1,70.2541%,493
43,16,90021,34.0853771,-118.1640715," 76,894,975 ",84%,3774,6,17.5618%,48
44,13,90334,34.0809718,-118.1507443," 13,818,448 ",8%,534,3,89.3930%,15
45,14,90421,34.1064715,-118.1155729," 81,196,632 ",99%,2453,7,66.1308%,1145
46,20,90766,34.090092,-118.1589996," 62,604,269 ",76%,829,4,18.7831%,618
47,12,90311,34.0936311,-118.1331925," 3,225,181 ",28%,1665,9,12.5466%,1444
48,8,90118,34.0857443,-118.1204593," 81,117,750 ",71%,2262,4,55.6781%,94
49,9,90892,34.0833801,-118.1317497," 13,651,286 ",58%,156,6,9.5430%,398
50,7,90324,34.0739589,-118.1626027," 285,529 ",14%,3071,9,29.9663%,519
51,6,90648,34.0873933,-118.118724," 37,521,578 ",22%,393,10,12.4721%,189
52,10,90227,34.0660171,-118.1300542," 63,483,851 ",88%,1295,9,14.6761%,1133
53,2,90419,34.0891022,-118.1116054," 89,316,170 ",96%,3997,5,6.6016%,1067
54,20,90539,34.0616789,-118.1462984," 33,685,621 ",97%,814,2,36.4956%,1365
55,9,90428,34.0695815,-118.1531202," 23,143,727 ",97%,2167,4,32.8843%,1456
56,10,90317,34.0903355,-118.1189338," 91,648,660 ",13%,1132,2,22.3733%,1367
57,10,90771,34.0805322,-118.1445653," 59,178,298 ",16%,4673,3,16.5708%,626
58,15,90278,34.1058471,-118.1368983," 38,340,972 ",37%,4387,4,92.4448%,1486
59,13,90327,34.0967548,-118.1404187," 6,907,146 ",24%,4126,7,5.7147%,611
60,5,90816,34.0860821,-118.1537686," 16,423,728 ",60%,1759,7,28.6239%,907
61,8,90798,34.0991022,-118.1464062," 81,761,858 ",88%,4536,4,29.0128%,1162
62,18,90569,34.0930606,-118.1494567," 14,956,324 ",30%,2706,8,82.5358%,402
63,10,90191,34.1005048,-118.1144334," 8,051,897 ",66%,1257,1,53.7902%,48
64,7,90486,34.0640382,-118.109312," 89,443,996 ",1%,3463,5,5.8770%,1203
65,2,90373,34.0802385,-118.1543219," 60,314,178 ",48%,1662,9,6.1413%,391
66,2,90741,34.0600429,-118.1164288," 16,404,214 ",91%,1718,4,79.7680%,1317
67,13,90048,34.0904464,-118.1390169," 14,603,837 ",67%,1987,5,80.4932%,846
68,7,90030,34.0845902,-118.1137752," 78,859,192 ",65%,3205,3,65.3661%,372
69,8,90016,34.0660711,-118.1105371," 99,536,202 ",46%,4413,10,8.2782%,176
70,19,90444,34.1017045,-118.1423889," 63,584,644 ",63%,4037,8,51.5254%,726
71,4,90026,34.062882,-118.1414328," 18,743,021 ",24%,1744,3,34.3764%,33
72,15,90221,34.1015612,-118.1623557," 13,555,653 ",88%,3123,6,95.4039%,757
73,16,90524,34.102483,-118.1147193," 28,504,518 ",59%,2015,4,4.8677%,1095
74,12,90574,34.0835311,-118.1510641," 98,584,773 ",6%,2023,5,0.9991%,528
75,13,90423,34.1067945,-118.1556273," 34,334,294 ",74%,540,7,50.9516%,535
76,18,90616,34.08748,-118.1399173," 47,211,910 ",30%,1767,2,64.2712%,1272
77,15,90678,34.0931805,-118.1640327," 42,084,975 ",47%,4680,4,61.2041%,1485
78,15,90576,34.0827696,-118.1360443," 41,588,541 ",28%,341,1,72.0171%,627
79,1,90111,34.0812487,-118.1630981," 85,008,946 ",78%,3268,1,38.3485%,578
80,13,90540,34.1077881,-118.1396167," 36,753,502 ",10%,1293,2,83.2192%,21
81,16,90044,34.1105151,-118.1646202," 84,207,143 ",56%,3630,8,54.9547%,799
82,19,90014,34.0976691,-118.114058," 5,155,047 ",31%,1478,3,72.2953%,1033
83,5,90729,34.0812782,-118.1127658," 5,565,003 ",31%,1584,7,62.3519%,270
84,10,90676,34.093734,-118.1378546," 17,620,353 ",79%,3807,8,8.3534%,812
85,19,90074,34.0641397,-118.1642838," 68,058,478 ",82%,1534,1,59.5834%,471
86,5,90229,34.0765018,-118.1335512," 35,117,915 ",17%,54,7,93.9062%,1201
87,5,90611,34.0737873,-118.148234," 7,509,846 ",50%,2299,4,38.5068%,554
88,18,90495,34.0777906,-118.1594604," 11,657,571 ",13%,2285,10,24.5961%,312
89,10,90780,34.0879978,-118.1149354," 54,640,879 ",43%,3657,8,58.2768%,172
90,14,90404,34.068459,-118.1171115," 54,778,715 ",73%,4751,1,35.2471%,1063
91,15,90048,34.0689984,-118.1527677," 75,293,531 ",89%,2271,10,84.0093%,804
92,15,90618,34.10975,-118.1642045," 67,074,212 ",42%,4431,4,17.7008%,1299
93,3,90794,34.0746707,-118.1475708," 38,762,252 ",33%,834,6,83.1612%,649
94,20,90068,34.0919436,-118.1407408," 86,050,489 ",27%,3309,6,88.3867%,375
95,17,90268,34.0749307,-118.1313201," 80,600,427 ",8%,1809,4,76.1421%,959
96,1,90553,34.100075,-118.1096774," 22,877,927 ",14%,761,9,73.9451%,1023
97,11,90599,34.0663092,-118.1120769," 6,378,768 ",92%,3586,7,77.1147%,156
98,7,90098,34.0686553,-118.1469447," 65,035,184 ",21%,3303,3,34.5870%,1037
99,11,90440,34.071232,-118.1513804," 41,825,035 ",59%,386,3,28.8101%,1014
100,11,90804,34.1077996,-118.1191098," 20,688,632 ",35%,4840,2,54.5620%,409
101,3,90768,34.0639773,-118.1297383," 74,945,277 ",72%,3115,9,46.7672%,910
102,10,90559,34.0752861,-118.1210782," 9,416,575 ",90%,4294,10,23.2871%,1123
103,8,90121,34.103346,-118.1268886," 62,936,326 ",48%,3997,10,13.5540%,44
104,3,90264,34.1034336,-118.1162001," 38,931,865 ",71%,861,4,82.0343%,392
105,1,90153,34.0861836,-118.1498793," 43,413,217 ",8%,1060,2,42.1751%,842
106,17,90788,34.0885513,-118.1415878," 99,397,020 ",11%,4812,1,55.1724%,708
107,20,90696,34.0917255,-118.1599311," 30,451,848 ",94%,3431,7,9.5123%,1010
108,10,90280,34.0843711,-118.1138802," 43,378,043 ",19%,2346,7,10.5473%,825
109,9,90455,34.0940381,-118.1136853," 82,208,436 ",0%,3561,10,83.8003%,1123
110,2,90528,34.0681078,-118.1614076," 34,004,390 ",83%,1906,7,18.5111%,760
