Region,State,Metro,County,Code
New York,NY,New York,Queens,1
Los Angeles,CA,Los Angeles,Los Angeles,2
Chicago,IL,Chicago,Cook,3
Philadelphia,PA,Philadelphia,Philadelphia,4
Phoenix,AZ,Phoenix,Maricopa,5
Las Vegas,NV,Las Vegas,Clark,6
San Diego,CA,San Diego,San Diego,7
San Jose,CA,San Jose,Santa Clara,8
Jacksonville,FL,Jacksonville,Duval,9
San Francisco,CA,San Francisco,San Francisco,10
Columbus,OH,Columbus,Franklin,11
Detroit,MI,Detroit,Wayne,12
Charlotte,NC,Charlotte,Mecklenburg,13
Memphis,TN,Memphis,Shelby,14
Baltimore,MD,Baltimore,Baltimore City,15
Boston,MA,Boston,Suffolk,16
Seattle,WA,Seattle,King,17
Washington,DC,Washington,District of Columbia,18
Denver,CO,Denver,Denver,19
Nashville,TN,Nashville,Davidson,20
Milwaukee,WI,Milwaukee,Milwaukee,21
Portland,OR,Portland,Multnomah,22
Oklahoma City,OK,Oklahoma City,Oklahoma,23
Tucson,AZ,Tucson,Pima,24
Omaha,NE,Omaha,Douglas,25
Fresno,CA,Fresno,Fresno,26
Mesa,AZ,Phoenix,Maricopa,27
Long Beach,CA,Los Angeles,Los Angeles,28
Sacramento,CA,Sacramento,Sacramento,29
Virginia Beach,VA,Virginia Beach,Virginia Beach City,30
Colorado Springs,CO,Colorado Springs,El Paso,31
Atlanta,GA,Atlanta,Fulton,32
Miami,FL,Miami-Fort Lauderdale,Miami-Dade,33
Tulsa,OK,Tulsa,Tulsa,34
Cleveland,OH,Cleveland,Cuyahoga,35
Honolulu,HI,Honolulu,Honolulu,36
Oakland,CA,San Francisco,Alameda,37
Minneapolis,MN,Minneapolis-St Paul,Hennepin,38
Raleigh,NC,Raleigh,Wake,39
Bakersfield,CA,Bakersfield,Kern,40
Tampa,FL,Tampa,Hillsborough,41
Anaheim,CA,Los Angeles,Orange,42
Aurora,CO,Denver,Arapahoe,43
Santa Ana,CA,Los Angeles,Orange,44
Marietta,GA,Atlanta,Cobb,45
Pittsburgh,PA,Pittsburgh,Allegheny,46
Riverside,CA,Riverside,Riverside,47
Cincinnati,OH,Cincinnati,Hamilton,48
Saint Paul,MN,Minneapolis-St Paul,Ramsey,49
Silver Spring,MD,Washington,Montgomery,50
Toledo,OH,Toledo,Lucas,51
Tallahassee,FL,Tallahassee,Leon,52
Stockton,CA,Stockton,San Joaquin,53
Newark,NJ,New York,Essex,54
Lexington,KY,Lexington,Fayette,55
Modesto,CA,Modesto,Stanislaus,56
Durham,NC,Durham,Durham,57
Chandler,AZ,Phoenix,Maricopa,58
Pensacola,FL,Pensacola,Escambia,59
Henderson,NV,Las Vegas,Clark,60
Saint Petersburg,FL,Tampa,Pinellas,61
Mobile,AL,Mobile,Mobile,62
Orlando,FL,Orlando,Orange,63
Jersey City,NJ,New York,Hudson,64
Glendale,AZ,Phoenix,Maricopa,65
Greensboro,NC,Greensboro,Guilford,66
Louisville,KY,Louisville/Jefferson County,Jefferson,67
Corona,CA,Riverside,Riverside,68
Chula Vista,CA,San Diego,San Diego,69
Lincoln,NE,Lincoln,Lancaster,70
Fayetteville,NC,Fayetteville,Cumberland,71
Hialeah,FL,Miami-Fort Lauderdale,Miami-Dade,72
Lawrenceville,GA,Atlanta,Gwinnett,73
Town of Madison,WI,Madison,Dane,74
Fort Myers,FL,Fort Myers,Lee,75
San Bernardino,CA,Riverside,San Bernardino,76
Winston-Salem,NC,Winston-Salem,Forsyth,77
Chesapeake,VA,Virginia Beach,Chesapeake City,78
Birmingham,AL,Birmingham,Jefferson,79
Fontana,CA,Riverside,San Bernardino,80
Bradenton,FL,Sarasota,Manatee,81
Knoxville,TN,Knoxville,Knox,82
North Las Vegas,NV,Las Vegas,Clark,83
